1576	Q9UNI1	CELA1_HUMAN	reviewed	Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1) (Pancreatic elastase 1)	CELA1 ELA1	Homo sapiens (Human)	258
1577	P51570	GALK1_HUMAN	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GALK1 GALK	Homo sapiens (Human)	392
1578	O00238	BMR1B_HUMAN	reviewed	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B	Homo sapiens (Human)	502
1579	P21275	BMP4_MOUSE	reviewed	Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B)	Bmp4 Bmp-4 Dvr-4	Mus musculus (Mouse)	408
1580	P36894	BMR1A_HUMAN	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	BMPR1A ACVRLK3 ALK3	Homo sapiens (Human)	532
1581	P36896	ACV1B_HUMAN	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4	Homo sapiens (Human)	505
1582	P37023	ACVL1_HUMAN	reviewed	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1	Homo sapiens (Human)	503
1583	Q04771	ACVR1_HUMAN	reviewed	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	Homo sapiens (Human)	509
1584	Q13873	BMPR2_HUMAN	reviewed	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	BMPR2 PPH1	Homo sapiens (Human)	1038
1585	Q9Y478	AAKB1_HUMAN	reviewed	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	PRKAB1 AMPK	Homo sapiens (Human)	270
1586	P21964	COMT_HUMAN	reviewed	Catechol O-methyltransferase (EC 2.1.1.6)	COMT	Homo sapiens (Human)	271
1587	P22734	COMT_RAT	reviewed	Catechol O-methyltransferase (EC 2.1.1.6)	Comt	Rattus norvegicus (Rat)	264
1588	Q99028	COMT_PIG	reviewed	Catechol O-methyltransferase (EC 2.1.1.6) (Fragment)	COMT	Sus scrofa (Pig)	186
1589	P43346	DCK_MOUSE	reviewed	Deoxycytidine kinase (dCK) (EC 2.7.1.74)	Dck	Mus musculus (Mouse)	260
1590	Q923Y8	TAAR1_MOUSE	reviewed	Trace amine-associated receptor 1 (TaR-1) (Trace amine receptor 1)	Taar1 Ta1 Tar1 Trar1	Mus musculus (Mouse)	332
1591	P34978	TA2R_RAT	reviewed	Thromboxane A2 receptor (TXA2-R) (Prostanoid TP receptor) (TXR2)	Tbxa2r	Rattus norvegicus (Rat)	341
1592	P63073	IF4E_MOUSE	reviewed	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (mRNA cap-binding protein) (eIF-4F 25 kDa subunit)	Eif4e	Mus musculus (Mouse)	217
1593	P25106	ACKR3_HUMAN	reviewed	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens (Human)	362
1594	P00520	ABL1_MOUSE	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	Abl1 Abl	Mus musculus (Mouse)	1123
1595	Q6PE15	ABHDA_MOUSE	reviewed	Mycophenolic acid acyl-glucuronide esterase, mitochondrial (EC 3.1.1.93) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10)	Abhd10	Mus musculus (Mouse)	297
1596	O15305	PMM2_HUMAN	reviewed	Phosphomannomutase 2 (PMM 2) (EC 5.4.2.8)	PMM2	Homo sapiens (Human)	246
1597	P56073	AROK_HELPY	reviewed	Shikimate kinase (SK) (EC 2.7.1.71)	aroK HP_0157	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	162
1598	O08725	GHSR_RAT	reviewed	Growth hormone secretagogue receptor type 1 (GHS-R) (GH-releasing peptide receptor) (GHRP) (Ghrelin receptor)	Ghsr	Rattus norvegicus (Rat)	364
1599	Q95254	GHSR_PIG	reviewed	Growth hormone secretagogue receptor type 1 (GHS-R) (GH-releasing peptide receptor) (GHRP) (Ghrelin receptor)	GHSR	Sus scrofa (Pig)	366
1600	P49286	MTR1B_HUMAN	reviewed	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor)	MTNR1B	Homo sapiens (Human)	362
1601	Q9R0W2	S22A2_RAT	reviewed	Solute carrier family 22 member 2 (Organic cation transporter 2) (rOCT2)	Slc22a2 Oct2	Rattus norvegicus (Rat)	555
1602	P04156	PRIO_HUMAN	reviewed	Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230)	PRNP ALTPRP PRIP PRP	Homo sapiens (Human)	253
1603	P08911	ACM5_RAT	reviewed	Muscarinic acetylcholine receptor M5	Chrm5 Chrm-5	Rattus norvegicus (Rat)	531
1604	P25102	HRH2_RAT	reviewed	Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I)	Hrh2	Rattus norvegicus (Rat)	358
1605	P28565	5HT1D_RAT	reviewed	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin receptor 1D)	Htr1d	Rattus norvegicus (Rat)	374
1606	P30940	5HT1F_RAT	reviewed	5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (Serotonin receptor 1F)	Htr1f 5ht1f	Rattus norvegicus (Rat)	366
1607	P31388	5HT6R_RAT	reviewed	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (ST-B17) (Serotonin receptor 6)	Htr6	Rattus norvegicus (Rat)	436
1608	P34968	5HT2C_MOUSE	reviewed	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	Htr2c 5ht1c Htr1c	Mus musculus (Mouse)	459
1609	P35364	5HT5A_RAT	reviewed	5-hydroxytryptamine receptor 5A (5-HT-5A) (5-HT5A) (REC17) (Serotonin receptor 5A)	Htr5a 5ht5a	Rattus norvegicus (Rat)	357
1610	P35365	5HT5B_RAT	reviewed	5-hydroxytryptamine receptor 5B (5-HT-5B) (5-HT5B) (MR22) (Serotonin receptor 5B)	Htr5b 5ht5b	Rattus norvegicus (Rat)	370
1611	P40145	ADCY8_HUMAN	reviewed	Adenylate cyclase type 8 (EC 4.6.1.1) (ATP pyrophosphate-lyase 8) (Adenylate cyclase type VIII) (Adenylyl cyclase 8) (AC8) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY8	Homo sapiens (Human)	1251
1612	P61168	DRD2_MOUSE	reviewed	D(2) dopamine receptor (Dopamine D2 receptor)	Drd2	Mus musculus (Mouse)	444
1613	Q08462	ADCY2_HUMAN	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	ADCY2 KIAA1060	Homo sapiens (Human)	1091
1614	Q08828	ADCY1_HUMAN	reviewed	Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY1	Homo sapiens (Human)	1119
1615	Q60857	SC6A4_MOUSE	reviewed	Sodium-dependent serotonin transporter (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	Slc6a4 Htt Sert	Mus musculus (Mouse)	630
1616	Q91ZY1	HRH4_RAT	reviewed	Histamine H4 receptor (H4R) (HH4R)	Hrh4	Rattus norvegicus (Rat)	391
1617	P00750	TPA_HUMAN	reviewed	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	PLAT	Homo sapiens (Human)	562
1618	O86309	NAT_MYCSM	reviewed	Arylamine N-acetyltransferase (EC 2.3.1.5)	nat	Mycobacterium smegmatis	275
1619	P53671	LIMK2_HUMAN	reviewed	LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1)	LIMK2	Homo sapiens (Human)	638
1620	Q15788	NCOA1_HUMAN	reviewed	Nuclear receptor coactivator 1 (NCoA-1) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 74) (bHLHe74) (Protein Hin-2) (RIP160) (Renal carcinoma antigen NY-REN-52) (Steroid receptor coactivator 1) (SRC-1)	NCOA1 BHLHE74 SRC1	Homo sapiens (Human)	1441
1621	Q63633	S12A5_RAT	reviewed	Solute carrier family 12 member 5 (Electroneutral potassium-chloride cotransporter 2) (Furosemide-sensitive K-Cl cotransporter) (K-Cl cotransporter 2) (rKCC2) (Neuronal K-Cl cotransporter)	Slc12a5 Kcc2	Rattus norvegicus (Rat)	1139
1622	P30553	GASR_RAT	reviewed	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)	Cckbr	Rattus norvegicus (Rat)	452
1623	Q5FVR2	TYPH_RAT	reviewed	Thymidine phosphorylase (TP) (EC 2.4.2.4) (TdRPase)	Tymp Ecgf1	Rattus norvegicus (Rat)	476
1624	P23141	EST1_HUMAN	reviewed	Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH)	CES1 CES2 SES1	Homo sapiens (Human)	567
1625	A9JQL9	CRTM_STAAU	reviewed	Dehydrosqualene synthase (EC 2.5.1.96) (4,4'-diapophytoene synthase) (DAP synthase) (Diapophytoene synthase)	crtM	Staphylococcus aureus	287
1626	P12276	FAS_CHICK	reviewed	Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	FASN FAS	Gallus gallus (Chicken)	2512
1627	P08516	CP4AA_RAT	reviewed	Cytochrome P450 4A10 (CYPIVA10) (Cytochrome P450-LA-omega 1) (Cytochrome P452) (Lauric acid omega-hydroxylase) (EC 1.14.15.3) [Cleaved into: Cytochrome P450 4A10, N-terminally processed]	Cyp4a10 Cyp4a-1 Cyp4a1	Rattus norvegicus (Rat)	509
1628	P20817	CP4AE_RAT	reviewed	Cytochrome P450 4A14 (CYPIVA14) (Cytochrome P450-LA-omega 3) (Lauric acid omega-hydroxylase) (EC 1.14.15.3)	Cyp4a14 Cyp4a-3 Cyp4a3	Rattus norvegicus (Rat)	507
1629	P10586	PTPRF_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)	PTPRF LAR	Homo sapiens (Human)	1907
1630	P23526	SAHH_HUMAN	reviewed	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	Homo sapiens (Human)	432
1631	O43193	MTLR_HUMAN	reviewed	Motilin receptor (G-protein coupled receptor 38)	MLNR GPR38 MTLR MTLR1	Homo sapiens (Human)	412
1632	P20648	ATP4A_HUMAN	reviewed	Potassium-transporting ATPase alpha chain 1 (EC 3.6.3.10) (Gastric H(+)/K(+) ATPase subunit alpha) (Proton pump)	ATP4A	Homo sapiens (Human)	1035
1633	P51164	ATP4B_HUMAN	reviewed	Potassium-transporting ATPase subunit beta (Gastric H(+)/K(+) ATPase subunit beta) (Proton pump beta chain)	ATP4B	Homo sapiens (Human)	291
1634	Q9D6N1	CAH13_MOUSE	reviewed	Carbonic anhydrase 13 (EC 4.2.1.1) (Carbonate dehydratase XIII) (Carbonic anhydrase XIII) (CA-XIII)	Ca13 Car13	Mus musculus (Mouse)	262
1635	P9WIJ3	DEF_MYCTU	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def Rv0429c MTCY22G10.26c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	197
1636	P20273	CD22_HUMAN	reviewed	B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22)	CD22 SIGLEC2	Homo sapiens (Human)	847
1637	P17707	DCAM_HUMAN	reviewed	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]	AMD1 AMD	Homo sapiens (Human)	334
1638	P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
1639	Q13936	CAC1C_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	Homo sapiens (Human)	2221
1640	Q99558	M3K14_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 14 (EC 2.7.11.25) (NF-kappa-beta-inducing kinase) (HsNIK) (Serine/threonine-protein kinase NIK)	MAP3K14 NIK	Homo sapiens (Human)	947
1641	P23711	HMOX2_RAT	reviewed	Heme oxygenase 2 (HO-2) (EC 1.14.99.3)	Hmox2	Rattus norvegicus (Rat)	315
1642	O70196	PPCE_RAT	reviewed	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme) (rPop)	Prep	Rattus norvegicus (Rat)	710
1643	O08562	SCN9A_RAT	reviewed	Sodium channel protein type 9 subunit alpha (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7)	Scn9a	Rattus norvegicus (Rat)	1984
1644	Q9UJU2	LEF1_HUMAN	reviewed	Lymphoid enhancer-binding factor 1 (LEF-1) (T cell-specific transcription factor 1-alpha) (TCF1-alpha)	LEF1	Homo sapiens (Human)	399
1645	P14679	TYRO_HUMAN	reviewed	Tyrosinase (EC 1.14.18.1) (LB24-AB) (Monophenol monooxygenase) (SK29-AB) (Tumor rejection antigen AB)	TYR	Homo sapiens (Human)	529
1646	P30559	OXYR_HUMAN	reviewed	Oxytocin receptor (OT-R)	OXTR	Homo sapiens (Human)	389
1647	P35561	KCNJ2_MOUSE	reviewed	Inward rectifier potassium channel 2 (Inward rectifier K(+) channel Kir2.1) (IRK-1) (Potassium channel, inwardly rectifying subfamily J member 2)	Kcnj2 Irk1	Mus musculus (Mouse)	428
1648	Q99489	OXDD_HUMAN	reviewed	D-aspartate oxidase (DASOX) (DDO) (EC 1.4.3.1)	DDO	Homo sapiens (Human)	341
1649	P08575	PTPRC_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	PTPRC CD45	Homo sapiens (Human)	1304
1650	P18433	PTPRA_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase alpha (Protein-tyrosine phosphatase alpha) (R-PTP-alpha) (EC 3.1.3.48)	PTPRA PTPA PTPRL2	Homo sapiens (Human)	802
1651	P23470	PTPRG_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase gamma (Protein-tyrosine phosphatase gamma) (R-PTP-gamma) (EC 3.1.3.48)	PTPRG PTPG	Homo sapiens (Human)	1445
1652	P43378	PTN9_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 9 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG2) (PTPase MEG2)	PTPN9	Homo sapiens (Human)	593
1653	Q12923	PTN13_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1)	PTPN13 PNP1 PTP1E PTPL1	Homo sapiens (Human)	2485
1654	Q9NRW4	DUS22_HUMAN	reviewed	Dual specificity protein phosphatase 22 (EC 3.1.3.16) (EC 3.1.3.48) (JNK-stimulatory phosphatase-1) (JSP-1) (Low molecular weight dual specificity phosphatase 2) (LMW-DSP2) (Mitogen-activated protein kinase phosphatase x) (MAP kinase phosphatase x) (MKP-x)	DUSP22 JSP1 LMWDSP2 MKPX	Homo sapiens (Human)	184
1655	Q9UNH5	CC14A_HUMAN	reviewed	Dual specificity protein phosphatase CDC14A (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog A)	CDC14A	Homo sapiens (Human)	594
1656	P14677	PBPX_STRPN	reviewed	Penicillin-binding protein 2x (PBP-2x) (PBP2x)	pbpX SP_0336	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	750
1657	Q6P1M0	S27A4_HUMAN	reviewed	Long-chain fatty acid transport protein 4 (FATP-4) (Fatty acid transport protein 4) (EC 6.2.1.-) (Solute carrier family 27 member 4)	SLC27A4 ACSVL4 FATP4	Homo sapiens (Human)	643
1658	P0AES4	GYRA_ECOLI	reviewed	DNA gyrase subunit A (EC 5.99.1.3)	gyrA hisW nalA parD b2231 JW2225	Escherichia coli (strain K12)	875
1659	P0AES6	GYRB_ECOLI	reviewed	DNA gyrase subunit B (EC 5.99.1.3)	gyrB acrB himB hisU nalC parA pcbA b3699 JW5625	Escherichia coli (strain K12)	804
1660	P0C1U9	PARC_STAAU	reviewed	DNA topoisomerase 4 subunit A (EC 5.99.1.3) (Topoisomerase IV subunit A)	parC grlA	Staphylococcus aureus	800
1661	P20839	IMDH1_HUMAN	reviewed	Inosine-5'-monophosphate dehydrogenase 1 (IMP dehydrogenase 1) (IMPD 1) (IMPDH 1) (EC 1.1.1.205) (IMPDH-I)	IMPDH1 IMPD1	Homo sapiens (Human)	514
1662	O08590	AOC3_RAT	reviewed	Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (Semicarbazide-sensitive amine oxidase) (SSAO) (VP97) (Vascular adhesion protein 1) (VAP-1)	Aoc3	Rattus norvegicus (Rat)	763
1663	P43116	PE2R2_HUMAN	reviewed	Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor)	PTGER2	Homo sapiens (Human)	358
1664	P52895	AK1C2_HUMAN	reviewed	Aldo-keto reductase family 1 member C2 (EC 1.-.-.-) (3-alpha-HSD3) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2) (DD-2) (DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein) (DD/BABP) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20) (Type III 3-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.357)	AKR1C2 DDH2	Homo sapiens (Human)	323
1665	Q04828	AK1C1_HUMAN	reviewed	Aldo-keto reductase family 1 member C1 (EC 1.1.1.-) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (Chlordecone reductase homolog HAKRC) (Dihydrodiol dehydrogenase 1/2) (DD1/DD2) (High-affinity hepatic bile acid-binding protein) (HBAB) (Indanol dehydrogenase) (EC 1.1.1.112) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)	AKR1C1 DDH DDH1	Homo sapiens (Human)	323
1666	Q81RP3	NADE_BACAN	reviewed	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	nadE BA_1998 GBAA_1998 BAS1855	Bacillus anthracis	272
1667	Q16584	M3K11_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase)	MAP3K11 MLK3 PTK1 SPRK	Homo sapiens (Human)	847
1668	Q06278	AOXA_HUMAN	reviewed	Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-)	AOX1 AO	Homo sapiens (Human)	1338
1669	Q13164	MK07_HUMAN	reviewed	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)	MAPK7 BMK1 ERK5 PRKM7	Homo sapiens (Human)	816
1670	P06935	POLG_WNV	reviewed	Genome polyprotein [Cleaved into: Peptide 2k; Capsid protein C (Core protein); prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (NS5)]		West Nile virus (WNV)	3430
1671	Q01279	EGFR_MOUSE	reviewed	Epidermal growth factor receptor (EC 2.7.10.1)	Egfr	Mus musculus (Mouse)	1210
1672	P06762	HMOX1_RAT	reviewed	Heme oxygenase 1 (HO-1) (EC 1.14.99.3) (HSP32)	Hmox1	Rattus norvegicus (Rat)	289
1673	P0A0K8	GYRB_STAAU	reviewed	DNA gyrase subunit B (EC 5.99.1.3)	gyrB	Staphylococcus aureus	644
1674	Q63207	FA10_RAT	reviewed	Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	Rattus norvegicus (Rat)	482
1675	P06729	CD2_HUMAN	reviewed	T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2)	CD2 SRBC	Homo sapiens (Human)	351
1676	Q8VCT4	CES1D_MOUSE	reviewed	Carboxylesterase 1D (Carboxylesterase 3) (EC 3.1.1.1) (EC 3.1.1.67) (Fatty acid ethyl ester synthase) (FAEE synthase) (Triacylglycerol hydrolase) (TGH)	Ces1d Ces1 Ces3	Mus musculus (Mouse)	565
1677	P42891	ECE1_BOVIN	reviewed	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)	ECE1	Bos taurus (Bovine)	754
1678	P20781	GLRB_RAT	reviewed	Glycine receptor subunit beta (Glycine receptor 58 kDa subunit)	Glrb	Rattus norvegicus (Rat)	496
1679	P22771	GLRA2_RAT	reviewed	Glycine receptor subunit alpha-2 (Glycine receptor strychnine-binding subunit)	Glra2	Rattus norvegicus (Rat)	452
1680	P24524	GLRA3_RAT	reviewed	Glycine receptor subunit alpha-3	Glra3	Rattus norvegicus (Rat)	464
1681	P07140	ACES_DROME	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7) [Cleaved into: Acetylcholinesterase 16 kDa subunit; Acetylcholinesterase 55 kDa subunit]	Ace CG17907	Drosophila melanogaster (Fruit fly)	649
1682	P28776	I23O1_MOUSE	reviewed	Indoleamine 2,3-dioxygenase 1 (IDO-1) (EC 1.13.11.52) (Indoleamine-pyrrole 2,3-dioxygenase)	Ido1 Ido Indo	Mus musculus (Mouse)	407
1683	P21932	ADCY3_RAT	reviewed	Adenylate cyclase type 3 (EC 4.6.1.1) (ATP pyrophosphate-lyase 3) (Adenylate cyclase type III) (AC-III) (Adenylate cyclase, olfactive type) (Adenylyl cyclase 3) (AC3)	Adcy3	Rattus norvegicus (Rat)	1144
1684	P26769	ADCY2_RAT	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2) (AC2)	Adcy2	Rattus norvegicus (Rat)	1090
1685	P26770	ADCY4_RAT	reviewed	Adenylate cyclase type 4 (EC 4.6.1.1) (ATP pyrophosphate-lyase 4) (Adenylate cyclase type IV) (Adenylyl cyclase 4)	Adcy4	Rattus norvegicus (Rat)	1064
1686	P40146	ADCY8_RAT	reviewed	Adenylate cyclase type 8 (EC 4.6.1.1) (ATP pyrophosphate-lyase 8) (Adenylate cyclase type VIII) (Adenylyl cyclase 8) (Ca(2+)/calmodulin-activated adenylyl cyclase)	Adcy8	Rattus norvegicus (Rat)	1248
1687	P50130	DRD1_PIG	reviewed	D(1A) dopamine receptor (Dopamine D1 receptor)	DRD1	Sus scrofa (Pig)	446
1688	Q03343	ADCY6_RAT	reviewed	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (ACVI) (Adenylyl cyclase 6) (AC6) (Ca(2+)-inhibitable adenylyl cyclase)	Adcy6	Rattus norvegicus (Rat)	1166
1689	Q04400	ADCY5_RAT	reviewed	Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5)	Adcy5	Rattus norvegicus (Rat)	1262
1690	O24855	CYNT_HELPY	reviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	cynT HP_0004	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	221
1691	P53615	CAN_YEAST	reviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase) (Non-classical export protein 3)	NCE103 NCE3 YNL036W N2695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221
1692	Q9GJU1	DRD2_CANFA	reviewed	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2	Canis familiaris (Dog) (Canis lupus familiaris)	443
1693	Q92952	KCNN1_HUMAN	reviewed	Small conductance calcium-activated potassium channel protein 1 (SK1) (SKCa 1) (SKCa1) (KCa2.1)	KCNN1 SK	Homo sapiens (Human)	543
