Index	TID	Accession	Synonym	Description
930	10177	P54750	PDE1A	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A
931	11035	Q95323	CA4	Carbonic anhydrase 4
932	10378	P07858	CPSB	Cathepsin B
933	10372	P08263	GSTA1	Glutathione S-transferase A1
934	10373	P07288	APS	Prostate-specific antigen
935	10371	Q13163	MEK5 	Dual specificity mitogen-activated protein kinase kinase 5
936	99	P23945	LGR1	Follicle-stimulating hormone receptor
937	101504	Q9H0K1	KIAA0781 	Serine/threonine-protein kinase SIK2
938	101262	Q8R2Y0	Abhd6	Monoacylglycerol lipase ABHD6
939	19639	Q9NWZ3	IRAK4	Interleukin-1 receptor-associated kinase 4
940	10773	P25025	IL8RB	C-X-C chemokine receptor type 2
941	105611	A0AVT1	MOP4 	Ubiquitin-like modifier-activating enzyme 6
942	105346	P00746	DF 	Complement factor D
943	105617	P46092	GPR2	C-C chemokine receptor type 10
944	10777	P13051	DGU 	Uracil-DNA glycosylase
945	102560	Q45614	yycG	Sensor histidine kinase WalK
946	10778	Q9UIK4	DAPK2	Death-associated protein kinase 2
947	100828	Q13285	AD4BP 	Steroidogenic factor 1
948	12200	P23739	Si	Sucrase-isomaltase, intestinal
949	12202	P26255	Adrb3r	Beta-3 adrenergic receptor
950	12203	Q9I8D0	ATP6V0A1	V-type proton ATPase 116 kDa subunit a isoform 1
951	109596	P25085	Il-1ra	Interleukin-1 receptor antagonist protein
952	104566	Q75ZY9	MET	Hepatocyte growth factor receptor
953	104567	Q869C3	ACE1 	Acetylcholinesterase
954	11827	P19320	L1CAM	Vascular cell adhesion protein 1
955	11821	Q08828	ADCY1	Adenylate cyclase type 1
956	10518	P30277	Ccnb1	G2/mitotic-specific cyclin-B1
957	104565	Q6DLS0	REN	Renin
958	10513	Q01815	Cach2 	Voltage-dependent L-type calcium channel subunit alpha-1C
959	10511	Q00975	CACH5 	Voltage-dependent N-type calcium channel subunit alpha-1B
960	14071	P03234	Capsid scaffolding protein	Capsid scaffolding protein
961	10517	P11597	CETP	Cholesteryl ester transfer protein
962	10514	P22002	Cach2 	Voltage-dependent L-type calcium channel subunit alpha-1C
963	10515	P27732	Cach3 	Voltage-dependent L-type calcium channel subunit alpha-1D
964	102744	Q9UM07	PAD4 	Protein-arginine deiminase type-4
965	103048	O75884	BOG 	Putative hydrolase RBBP9
966	102747	Q8TCT1	PHOSPHO1	Phosphoethanolamine/phosphocholine phosphatase
967	102741	O15294	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
968	104561	Q6YP21	CCBL2 	Kynurenine--oxoglutarate transaminase 3
969	13081	P18440	AAC1	Arylamine N-acetyltransferase 1
970	102986	Q197X6	FPPS	Farnesyl diphosphate synthase
971	11910	Q13946	PDE7A	High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A
972	11913	Q8BGY9	Cht1	High affinity choline transporter 1
973	11912	O75469	PXR	Nuclear receptor subfamily 1 group I member 2
974	11915	P30204	Scvr	Macrophage scavenger receptor types I and II
975	102983	P04185	PLAU	Urokinase-type plasminogen activator
976	11919	P10696	ALPPL	Alkaline phosphatase, placental-like
977	10245	P9WKE1	tmk	Thymidylate kinase
978	102988	Q6R7Z5	Cathepsin B-like cysteine protease	Cathepsin B-like cysteine protease
979	102989	Q964Q8	SPPS	Solanesyl diphosphate synthase
980	12932	P03887	MTND1 	NADH-ubiquinone oxidoreductase chain 1
981	12933	P00787	Ctsb	Cathepsin B
982	12930	P51787	KCNA8 	Potassium voltage-gated channel subfamily KQT member 1
983	12936	P03905	MTND4 	NADH-ubiquinone oxidoreductase chain 4
984	108054	P55201	BR140	Peregrin
985	109503	Q99436	Z	Proteasome subunit beta type-7
986	109502	Q8K4Z6	Gprc6a	G-protein coupled receptor family C group 6 member A
987	12938	P00730	CPA	Carboxypeptidase A1
988	10206	P06746	POLB	DNA polymerase beta
989	10207	P22694	PRKACB	cAMP-dependent protein kinase catalytic subunit beta
990	10205	Q93086	P2X5	P2X purinoceptor 5
991	104568	Q5XXA6	DOG1 	Anoctamin-1
992	10200	P14174	GLIF 	Macrophage migration inhibitory factor
993	10201	Q13126	MSAP	S-methyl-5'-thioadenosine phosphorylase
994	10208	Q9UKR0	KLKL5	Kallikrein-12
995	10209	P34969	HTR7	5-hydroxytryptamine receptor 7
996	10197	P49841	GSK3B	Glycogen synthase kinase-3 beta
997	10193	P00915	CA1	Carbonic anhydrase 1
998	10190	P47211	GALNR 	Galanin receptor type 1
999	20044	P00599	Basic phospholipase A2 1	Basic phospholipase A2 1
1000	107611	P03313	Genome polyprotein	Genome polyprotein
1001	107610	P19550	env	Envelope glycoprotein gp160
1002	107613	Q9H1R2	C20orf57 	Dual specificity protein phosphatase 15
1003	107612	Q9BVJ7	LDP3 	Dual specificity protein phosphatase 23
1004	107615	P26045	PTPH1	Tyrosine-protein phosphatase non-receptor type 3
1005	107614	Q13332	PTPRS	Receptor-type tyrosine-protein phosphatase S
1006	10198	P22460	KCNA5	Potassium voltage-gated channel subfamily A member 5
1007	10199	P07195	LDHB	L-lactate dehydrogenase B chain
1008	100965	Q61096	Prtn3	Myeloblastin
1009	100660	P04191	ATP2A1	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
1010	100962	Q60751	Igf1r	Insulin-like growth factor 1 receptor
1011	109832	Q9EQZ6	Cgef2 	Rap guanine nucleotide exchange factor 4
1012	106624	P62615	ipk 	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
1013	109473	O35084	Cyp27b 	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial
1014	109471	Q81W29	None	Inosine-5'-monophosphate dehydrogenase
1015	109478	Q2V0Q7	CCR1	Chemokine (C-C motif) receptor 1
1016	103167	Q7Z2W7	LTRPC6 	Transient receptor potential cation channel subfamily M member 8
1017	103165	P61964	BIG3	WD repeat-containing protein 5
1018	11134	P18054	12LO 	Arachidonate 12-lipoxygenase, 12S-type
1019	103163	P32302	BLR1 	C-X-C chemokine receptor type 5
1020	104076	P50225	STP 	Sulfotransferase 1A1
1021	11131	P30838	ALDH3	Aldehyde dehydrogenase, dimeric NADP-preferring
1022	103160	P03452	HA	Hemagglutinin
1023	103169	Q9WV60	Gsk3b	Glycogen synthase kinase-3 beta
1024	11138	P08546	HFLF2	DNA polymerase catalytic subunit
1025	18080	Q9Y5Y9	SCN10A	Sodium channel protein type 10 subunit alpha
1026	109873	Q9ER60	Scn4a	Sodium channel protein type 4 subunit alpha
1027	109872	Q68V28	Scn1a	Sodium channel protein type 1 subunit alpha
1028	109874	O15382	BCATM 	Branched-chain-amino-acid aminotransferase, mitochondrial
1029	12594	P05177	CYP1A2	Cytochrome P450 1A2
1030	108300	P00380	folA	Dihydrofolate reductase
1031	12591	O88766	Mmp8	Neutrophil collagenase
1032	12592	P14780	CLG4B	Matrix metalloproteinase-9
1033	12593	P09238	STMY2	Stromelysin-2
1034	12598	O95622	ADCY5	Adenylate cyclase type 5
1035	12848	O15228	DAPAT 	Dihydroxyacetone phosphate acyltransferase
1036	11868	P42679	CTK 	Megakaryocyte-associated tyrosine-protein kinase
1037	12840	P07333	FMS	Macrophage colony-stimulating factor 1 receptor
1038	100862	Q969F8	AXOR12 	KiSS-1 receptor
1039	12847	P04070	PROC	Vitamin K-dependent protein C
1040	12844	P51993	FCT3A	Alpha-(1,3)-fucosyltransferase 6
1041	12845	P35575	G6PT	Glucose-6-phosphatase
1042	11003	P41968	MC3R	Melanocortin receptor 3
1043	11000	Q9EPX4	P2y12	P2Y purinoceptor 12
1044	11007	P35345	Mc5r	Melanocortin receptor 5
1045	11006	P33032	MC5R	Melanocortin receptor 5
1046	11005	P70596	Mc4r	Melanocortin receptor 4
1047	11004	P33033	Mc3r	Melanocortin receptor 3
1048	103768	Q9Y6Q9	AIB1 	Nuclear receptor coactivator 3
1049	108277	H9B8T9	Cathepsin B	Cathepsin B
1050	108274	Q9R0R3	Apel	Apelin
1051	102711	Q9Y2U5	MAPKKK2 	Mitogen-activated protein kinase kinase kinase 2
1052	100861	O88410	Cmkar3	C-X-C chemokine receptor type 3
1053	10151	P15382	KCNE1	Potassium voltage-gated channel subfamily E member 1
1054	103909	P0A0I7	agr	Accessory gene regulator protein A
1055	103900	Q9WV26	AGTR1	Type-1 angiotensin II receptor
1056	12515	P10760	Ahcy	Adenosylhomocysteinase
1057	100663	P00883	ALDOA	Fructose-bisphosphate aldolase A
1058	11344	Q9GJU1	DRD2	D(2) dopamine receptor
1059	11346	Q8SPQ9	COX-2	Cyclooxygenase 2
1060	11343	Q8HZR1	COX1	Prostaglandin G/H synthase 1
1061	11668	P19493	Glur4	Glutamate receptor 4
1062	109928	Q9YQ30	None	HIV-1 protease
1063	100122	P15149	Cyp2a-2	Cytochrome P450 2A2
1064	12447	Q76MZ3	Ppp2r1a	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
1065	100120	P15393	Cyp11b-1	Cytochrome P450 11B1, mitochondrial
1066	100126	P15056	BRAF1 	Serine/threonine-protein kinase B-raf
1067	100127	P09769	SRC2	Tyrosine-protein kinase Fgr
1068	100124	P00183	cyp101	Camphor 5-monooxygenase
1069	101564	Q9NBD4	Cysteine protease falcipain-2	Cysteine protease falcipain-2
1070	109257	Q56950	irp5	Salicyl-AMP ligase
1071	103584	P13501	D17S136E 	C-C motif chemokine 5
1072	100128	P11274	BCR1 	Breakpoint cluster region protein
1073	100129	P54760	HTK 	Ephrin type-B receptor 4
1074	103581	Q2KHZ8	GBA	Glucosylceramidase
1075	103580	P9WNP5	menB	1,4-dihydroxy-2-naphthoyl-CoA synthase
1076	12448	Q9HCR9	PDE11A	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A
1077	12449	P31422	Gprc1c 	Metabotropic glutamate receptor 3
1078	103619	P22309	GNT1 	UDP-glucuronosyltransferase 1-1
1079	101561	Q9K2N0	bla 	Beta-lactamase class B VIM-2
1080	103616	O54699	Ent2	Equilibrative nucleoside transporter 2
1081	103612	P03470	NA	Neuraminidase
1082	103834	Q3UVX5	Gprc1e 	Metabotropic glutamate receptor 5
1083	103837	Q9Z0U5	Ao	Aldehyde oxidase 1
1084	103836	O54754	Ao 	Aldehyde oxidase 1
1085	103830	Q8TCC7	OAT3	Solute carrier family 22 member 8
1086	12454	P05696	Pkca	Protein kinase C alpha type
1087	19623	P51617	IRAK	Interleukin-1 receptor-associated kinase 1
1088	100832	Q03330	ADA4 	Histone acetyltransferase GCN5
1089	100833	Q8TD08	ERK7 	Mitogen-activated protein kinase 15
1090	100834	Q16644	MAPKAPK3	MAP kinase-activated protein kinase 3
1091	11359	Q08499	DPDE3	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
1092	100836	Q8TDX7	NEK7	Serine/threonine-protein kinase Nek7
1093	19624	O96935	M1 family aminopeptidase	M1 family aminopeptidase
1094	101616	P04292	DNA polymerase catalytic subunit	DNA polymerase catalytic subunit
1095	108019	Q4E657	pfk	ATP-dependent 6-phosphofructokinase
1096	100154	O43184	MLTN	Disintegrin and metalloproteinase domain-containing protein 12
1097	101613	Q9P289	MASK 	Serine/threonine-protein kinase 26
1098	101612	Q9P0L2	KIAA1477 	Serine/threonine-protein kinase MARK1
1099	101611	Q9NZ08	APPILS 	Endoplasmic reticulum aminopeptidase 1
1100	101610	Q9NYY3	SNK	Serine/threonine-protein kinase PLK2
1101	104160	Q53EL6	H731	Programmed cell death protein 4
1102	104247	Q9QUK6	Lps	Toll-like receptor 4
1103	104246	Q12772	BHLHD2 	Sterol regulatory element-binding protein 2
1104	101401	Q99LR1	Abhd12	Monoacylglycerol lipase ABHD12
1105	104243	P0C5S6	luxN	Autoinducer 1 sensor kinase/phosphatase LuxN
1106	12453	P21396	Maoa	Amine oxidase [flavin-containing] A
1107	104241	P9WG57	thyX	Flavin-dependent thymidylate synthase
1108	104249	Q9IGQ6	NA	Neuraminidase
1109	104248	Q9NZ45	C10orf70 	CDGSH iron-sulfur domain-containing protein 1
1110	107974	B3VTJ2	PDE2A3	Phosphodiesterase
1111	10874	P81425	CD26	Dipeptidyl peptidase 4
1112	100238	P29853	lacA	Beta-galactosidase
1113	100239	P68890	None	Glutamyl-tRNA(Gln) amidotransferase subunit C
1114	100588	Q54A96	dhod	Dihydroorotate dehydrogenase
1115	100235	O13428	GSC1	Beta-1,3-glucan synthase catalytic subunit 1
1116	100904	P35573	GDE	Glycogen debranching enzyme
1117	102599	P0AD63	shv1	Beta-lactamase SHV-1
1118	100906	P35590	TIE	Tyrosine-protein kinase receptor Tie-1
1119	100907	P36894	ACVRLK3 	Bone morphogenetic protein receptor type-1A
1120	101188	Q8IVH8	RAB8IPL1	Mitogen-activated protein kinase kinase kinase kinase 3
1121	101187	Q8G2R2	None	Histidinol dehydrogenase
1122	101186	Q8CGM4	Oprm1	Mu-opioid receptor
1123	101183	Q86Z02	KIAA0630 	Homeodomain-interacting protein kinase 1
1124	100909	P37023	ACVRLK1 	Serine/threonine-protein kinase receptor R3
1125	101181	Q86X55	PRMT4	Histone-arginine methyltransferase CARM1
1126	103593	P50053	KHK	Ketohexokinase
1127	12051	P51635	Alr	Alcohol dehydrogenase [NADP(+)]
1128	12050	Q9R0C9	Oprs1	Sigma non-opioid intracellular receptor 1
1129	12052	Q02759	Alox12l	Arachidonate 15-lipoxygenase
1130	238	P10721	SCFR	Mast/stem cell growth factor receptor Kit
1131	12054	P16050	LOG15	Arachidonate 15-lipoxygenase
1132	12056	Q06278	AO	Aldehyde oxidase
1133	234	P08069	IGF1R	Insulin-like growth factor 1 receptor
1134	235	P08246	ELA2	Neutrophil elastase
1135	236	P08473	EPN	Neprilysin
1136	237	P09960	LTA4	Leukotriene A-4 hydrolase
1137	108007	Q9BYW2	HIF1 	Histone-lysine N-methyltransferase SETD2
1138	232	P06858	LIPD	Lipoprotein lipase
1139	105645	Q5GIT4	flk1b 	Vascular endothelial growth factor receptor 2
1140	12697	Q13547	RPD3L1	Histone deacetylase 1
1141	101502	Q9GZT9	C1orf12	Egl nine homolog 1
1142	12694	P29597	TYK2	Non-receptor tyrosine-protein kinase TYK2
1143	12693	O00220	APO2 	Tumor necrosis factor receptor superfamily member 10A
1144	101054	Q9Y5X9	LIPG	Endothelial lipase
1145	101505	Q9H1C0	GPR92 	Lysophosphatidic acid receptor 5
1146	12690	P00491	NP	Purine nucleoside phosphorylase
1147	101058	Q9Y6M4	CSNK1G3	Casein kinase I isoform gamma-3
1148	101509	Q9H5J4	FACE 	Elongation of very long chain fatty acids protein 6
1149	105647	P50897	CLN1 	Palmitoyl-protein thioesterase 1
1150	12699	Q15303	HER4	Receptor tyrosine-protein kinase erbB-4
1151	12698	P53602	MPD	Diphosphomevalonate decarboxylase
1152	1	O43451	MGA 	Maltase-glucoamylase, intestinal
1153	101292	P18858	LIG1	DNA ligase 1
1154	101291	P18539	ampC	Beta-lactamase
1155	101290	P18509	ADCYAP1	Pituitary adenylate cyclase-activating polypeptide
1156	101297	P49116	TAK1 	Nuclear receptor subfamily 2 group C member 2
1157	10832	P04053	TDT	DNA nucleotidylexotransferase
1158	100052	P88142	pol	Pol polyprotein
1159	101299	P49185	Jnk1 	Mitogen-activated protein kinase 8
1160	108002	Q9UIF9	KIAA0314 	Bromodomain adjacent to zinc finger domain protein 2A
1161	10839	P11309	PIM1	Serine/threonine-protein kinase pim-1
1162	146	P47871	GCGR	Glucagon receptor
1163	144	P46098	5HT3R 	5-hydroxytryptamine receptor 3A
1164	145	P9WGR1	inhA	Enoyl-[acyl-carrier-protein] reductase [NADH]
1165	142	P43116	PTGER2	Prostaglandin E2 receptor EP2 subtype
1166	143	P43119	PRIPR	Prostacyclin receptor
1167	140	P43088	PTGFR	Prostaglandin F2-alpha receptor
1168	10358	Q920D2	Dhfr	Dihydrofolate reductase
1169	148	P47901	AVPR3 	Vasopressin V1b receptor
1170	149	P47989	XDHA	Xanthine dehydrogenase/oxidase
1171	10051	O43293	ZIPK	Death-associated protein kinase 3
1172	102972	Q7X1P7	parE	DNA topoisomerase (ATP-hydrolyzing)
1173	102971	P0A4L9	gyrB	DNA gyrase subunit B
1174	102596	A1E3K9	blaSCO-1	Beta-lactamase
1175	102975	Q97SR4	uppS	Isoprenyl transferase
1176	102974	Q9FBC5	fabK_1	2-nitropropane dioxygenase
1177	102409	P42224	STAT1	Signal transducer and activator of transcription 1-alpha/beta
1178	102408	P54300	luxP	Autoinducer 2-binding periplasmic protein LuxP
1179	102403	Q9UBC3	DNMT3B	DNA (cytosine-5)-methyltransferase 3B
1180	102401	Q9TSZ1	REN	Renin
1181	102400	Q9BYP7	KIAA1566 	Serine/threonine-protein kinase WNK3
1182	102690	Q99527	CEPR 	G-protein coupled estrogen receptor 1
1183	102405	O95864	FADS2	Fatty acid desaturase 2
1184	100484	P07374	Urease	Urease
1185	105195	Q99707	MTR	Methionine synthase
1186	105196	Q93009	HAUSP	Ubiquitin carboxyl-terminal hydrolase 7
1187	105197	Q96K76	USP47	Ubiquitin carboxyl-terminal hydrolase 47
1188	105190	Q6IYF9	Gpr91	Succinate receptor 1
1189	105191	Q96P68	GPR80 	2-oxoglutarate receptor 1
1190	101479	P28293	Ctsg	Cathepsin G
1191	101478	P28272	URA1	Dihydroorotate dehydrogenase (fumarate)
1192	11652	Q9UQ49	NEU3	Sialidase-3
1193	11653	Q9Y251	HEP 	Heparanase
1194	101474	P27467	Wnt-3a	Protein Wnt-3a
1195	101473	P27037	ACVR2	Activin receptor type-2A
1196	101472	P00403	COII 	Cytochrome c oxidase subunit 2
1197	101471	P00395	COI 	Cytochrome c oxidase subunit 1
1198	101470	P00371	DAO	D-amino-acid oxidase
1199	104175	O14727	KIAA0413	Apoptotic protease-activating factor 1
1200	105579	P51136	gsk3	Glycogen synthase kinase-3
1201	10303	P49810	AD4 	Presenilin-2
1202	105570	Q60484	HTR1D	5-hydroxytryptamine receptor 1D
1203	102695	P07686	HEXB	Beta-hexosaminidase subunit beta
1204	10348	P85973	Np	Purine nucleoside phosphorylase
1205	10342	Q6MGC4	None	H2-K region expressed gene 2, rat orthologue
1206	10693	P06280	GLA	Alpha-galactosidase A
1207	10692	P50052	AGTR2	Type-2 angiotensin II receptor
1208	10695	P31751	AKT2	RAC-beta serine/threonine-protein kinase
1209	10694	P35869	BHLHE76	Aryl hydrocarbon receptor
1210	10696	Q9Y243	PKBG	RAC-gamma serine/threonine-protein kinase
1211	102576	Q56D28	PTGDR2	Chemoattractant receptor-homologous molecule expressed on Th2 cells
1212	102574	Q04782	ERG7	Lanosterol synthase
1213	11987	P49891	Ste	Estrogen sulfotransferase, testis isoform
1214	101512	Q9HAS3	CNT3	Solute carrier family 28 member 3
1215	10744	P00439	PAH	Phenylalanine-4-hydroxylase
1216	12275	Q28969	NOS	Nitric oxide synthase, endothelial
1217	12274	P19156	ATP4A	Potassium-transporting ATPase alpha chain 1
1218	10741	Q64654	Cyp51	Lanosterol 14-alpha demethylase
1219	12276	Q13233	MAPKKK1 	Mitogen-activated protein kinase kinase kinase 1
1220	10527	P34975	Ror-d	Kappa-type opioid receptor
1221	10526	P33533	Ror-a	Delta-type opioid receptor
1222	10520	P14635	CCNB	G2/mitotic-specific cyclin-B1
1223	11836	P16277	Blk	Tyrosine-protein kinase Blk
1224	11837	Q14573	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3
1225	11835	P39655	Alox12p	Arachidonate 12-lipoxygenase, 12S-type
1226	11832	P11103	Adprp 	Poly [ADP-ribose] polymerase 1
1227	10529	P33535	Ror-b	Mu-type opioid receptor
1228	10528	P79350	OPRM1	Mu-type opioid receptor
1229	106661	Q9YQ12	protease	Protease
1230	106660	Q9WKE8	None	Reverse transcriptase
1231	106667	A7XBP7	ALS	Acetolactate synthase
1232	103828	Q5TIX5	atpE	ATP synthase subunit c
1233	14069	P28857	XILF0	DNA polymerase catalytic subunit
1234	14065	Q59487	dhfR	Dihydrofolate reductase
1235	102753	P10619	PPGB	Lysosomal protective protein
1236	102757	P43378	PTPN9	Tyrosine-protein phosphatase non-receptor type 9
1237	107592	Q9WVG5	Lipg	Endothelial lipase
1238	109768	P03101	L1	Major capsid protein L1
1239	107597	P21275	Bmp-4 	Bone morphogenetic protein 4
1240	107594	Q96D31	CRACM1 	Calcium release-activated calcium channel protein 1
1241	11902	P04629	MTC 	High affinity nerve growth factor receptor
1242	12301	Q01237	Hmgcr	3-hydroxy-3-methylglutaryl-coenzyme A reductase
1243	11907	P41231	P2RU1	P2Y purinoceptor 2
1244	11904	P56373	P2RX3	P2X purinoceptor 3
1245	12302	Q3THK7	Gmps	GMP synthase [glutamine-hydrolyzing]
1246	11908	O75914	OPHN3	Serine/threonine-protein kinase PAK 3
1247	11909	P35558	PEPCK1	Phosphoenolpyruvate carboxykinase, cytosolic [GTP]
1248	108041	P24095	SC514	Seed linoleate 9S-lipoxygenase
1249	12909	Q12908	ASBT 	Ileal sodium/bile acid cotransporter
1250	12908	Q9ET64	Smpd2	Sphingomyelin phosphodiesterase 2
1251	12907	P23316	CHS1	Chitin synthase 1
1252	12900	P42264	Glur7	Glutamate receptor ionotropic, kainate 3
1253	10233	Q63447	Ppyr1	Neuropeptide Y receptor type 4
1254	10230	O09175	Rnpep	Aminopeptidase B
1255	10235	P52564	MEK6 	Dual specificity mitogen-activated protein kinase kinase 6
1256	107623	P41212	TEL 	Transcription factor ETV6
1257	107629	P09487	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme
1258	101316	Q96D53	ADCK4	Atypical kinase COQ8B, mitochondrial
1259	20059	P06762	Hmox1	Heme oxygenase 1
1260	101317	Q96L34	KIAA1860 	MAP/microtubule affinity-regulating kinase 4
1261	20056	P05181	CYP2E	Cytochrome P450 2E1
1262	20057	P05413	FABP11 	Fatty acid-binding protein, heart
1263	20052	P02829	HSP90	ATP-dependent molecular chaperone HSP82
1264	20053	P04637	P53	Cellular tumor antigen p53
1265	12886	O60755	GALNR3	Galanin receptor type 3
1266	30025	Q13153	PAK1	Serine/threonine-protein kinase PAK 1
1267	101312	Q92918	HPK1	Mitogen-activated protein kinase kinase kinase kinase 1
1268	101313	Q92993	HTATIP 	Histone acetyltransferase KAT5
1269	101310	Q92793	CBP	CREB-binding protein
1270	101230	O00337	CNT1	Sodium/nucleoside cotransporter 1
1271	17086	P46616	ADORA2A	Adenosine receptor A2a
1272	30021	P54764	HEK8 	Ephrin type-A receptor 4
1273	11120	P37268	FDFT1	Squalene synthase
1274	12262	Q8WN95	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3
1275	103111	Q9JII9	Cxcr3	C-X-C chemokine receptor type 3
1276	103116	P0A3M1	shv5	Beta-lactamase SHV-5
1277	11125	P56696	KCNQ4	Potassium voltage-gated channel subfamily KQT member 4
1278	11126	Q16549	LPC 	Proprotein convertase subtilisin/kexin type 7
1279	10853	Q9UKR3	KLKL4	Kallikrein-13
1280	103118	P33436	Mmp2	72 kDa type IV collagenase
1281	103741	Q5A7N4	TPT1	tRNA 2'-phosphotransferase
1282	101234	O00767	SCD	Acyl-CoA desaturase
1283	106575	E3SW77	CYP51B	p450 sterol 14-alpha-demethylase
1284	101237	O08726	Galnr2	Galanin receptor type 2
1285	101236	O08703	ERG	Potassium voltage-gated channel subfamily H member 2
1286	10601	P14270	Pde4d	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
1287	11044	P51512	MMPX2	Matrix metalloproteinase-16
1288	12264	P00516	PRKG1B 	cGMP-dependent protein kinase 1
1289	101238	O14519	CDKAP1 	Cyclin-dependent kinase 2-associated protein 1
1290	101319	O35078	Dao1	D-amino-acid oxidase
1291	30015	P49761	CLK3	Dual specificity protein kinase CLK3
1292	30014	P49760	CLK2	Dual specificity protein kinase CLK2
1293	30017	P51955	NEK2A 	Serine/threonine-protein kinase Nek2
1294	30016	P51813	BMX	Cytoplasmic tyrosine-protein kinase BMX
1295	30011	P33981	MPS1 	Dual specificity protein kinase TTK
1296	30010	P29322	EEK 	Ephrin type-A receptor 8
1297	30013	P49759	CLK	Dual specificity protein kinase CLK1
1298	30012	P42685	PTK5 	Tyrosine-protein kinase FRK
1299	30019	P54756	BSK 	Ephrin type-A receptor 5
1300	10929	Q15418	MAPKAPK1A 	Ribosomal protein S6 kinase alpha-1
1301	12879	P02769	ALB	Serum albumin
1302	10069	P49862	PRSS6 	Kallikrein-7
1303	11018	Q13237	PRKGR2	cGMP-dependent protein kinase 2
1304	11019	Q13976	PRKG1B 	cGMP-dependent protein kinase 1
1305	108263	P36196	ACHE	Acetylcholinesterase
1306	11017	P49840	GSK3A	Glycogen synthase kinase-3 alpha
1307	11010	P22199	Mlr	Mineralocorticoid receptor
1308	108264	O97972	INMT	Indolethylamine N-methyltransferase
1309	104422	O15054	JMJD3 	Lysine-specific demethylase 6B
1310	103753	Q9Y570	PME1	Protein phosphatase methylesterase 1
1311	103850	Q9I7A8	def	Peptide deformylase
1312	11802	P00520	Abl	Tyrosine-protein kinase ABL1
1313	103857	Q1A7N1	TRPM8	Transient receptor potential M8 protein
1314	103856	E2R517	GCGR	Uncharacterized protein
1315	100875	Q92831	PCAF	Histone acetyltransferase KAT2B
1316	11330	P54136	RARS	Arginine--tRNA ligase, cytoplasmic
1317	11336	Q15761	NPYR5	Neuropeptide Y receptor type 5
1318	11	P00734	F2	Prothrombin
1319	10	P0A8V2	groN 	DNA-directed RNA polymerase subunit beta
1320	12471	P42866	Mor 	Mu-type opioid receptor
1321	12	P00747	PLG	Plasminogen
1322	15	P00918	CA2	Carbonic anhydrase 2
1323	14	P00813	ADA1	Adenosine deaminase
1324	12475	P06494	Neu	Receptor tyrosine-protein kinase erbB-2
1325	16	P01008	AT3	Antithrombin-III
1326	19	P03372	ESR 	Estrogen receptor
1327	100324	O77078	fabH	Beta-ketoacyl-acyl carrier protein synthase III
1328	12479	P27867	Sdh1	Sorbitol dehydrogenase
1329	12478	Q63921	Cox-1 	Prostaglandin G/H synthase 1
1330	108319	P35991	Bpk	Tyrosine-protein kinase BTK
1331	100325	Q16665	BHLHE78 	Hypoxia-inducible factor 1-alpha
1332	103629	P04839	NOX2	Cytochrome b-245 heavy chain
1333	103620	P56109	fba	Fructose-bisphosphate aldolase
1334	103621	Q9URB4	None	Fructose-bisphosphate aldolase
1335	103622	P9WQA3	fba	Fructose-bisphosphate aldolase
1336	103623	Q7CGS5	fbaA	Fructose-bisphosphate aldolase class II
1337	103624	Q9Y468	KIAA0681 	Lethal(3)malignant brain tumor-like protein 1
1338	103625	Q96JM7	KIAA1798 	Lethal(3)malignant brain tumor-like protein 3
1339	103626	Q8NA19	L3MBTL4	Lethal(3)malignant brain tumor-like protein 4
1340	103627	Q05BQ5	MBTD1	MBT domain-containing protein 1
1341	103800	P35414	AGTRL1 	Apelin receptor
1342	103152	O00443	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha
1343	106699	Q8S3J0	ALS	Acetolactate synthase
1344	103153	P00830	ATP2	ATP synthase subunit beta, mitochondrial
1345	103150	P0C6E9	nanH	Sialidase
1346	11489	P28845	HSD11 	Corticosteroid 11-beta-dehydrogenase isozyme 1
1347	11488	P37058	EDH17B3 	Testosterone 17-beta-dehydrogenase 3
1348	11487	P11884	Aldh2	Aldehyde dehydrogenase, mitochondrial
1349	11483	P22735	KTG	Protein-glutamine gamma-glutamyltransferase K
1350	11480	Q14524	SCN5A	Sodium channel protein type 5 subunit alpha
1351	104233	E2QDN0	None	Thymidylate synthase
1352	104236	O69638	Hydrolase, alpha/beta hydrolase fold family	Hydrolase, alpha/beta hydrolase fold family
1353	104235	P95276	Epoxide hydrolase B	Epoxide hydrolase B
1354	11241	Q99538	PRSC1	Legumain
