Index	HGNC	Symbol	UniProt	Chromosome
3745	HGNC:6391	KIF22	Q14807 kinesin family member 22	16p11.2
3746	HGNC:6392	KIF23	Q02241 kinesin family member 23	15q23
3747	HGNC:6393	KIF2C	Q99661 kinesin family member 2C	1p34.1
3748	HGNC:6394	KPNA1	P52294 karyopherin alpha 1 (importin alpha 5)	3q21
3749	HGNC:6395	KPNA2	P52292 karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	17q24.2
3750	HGNC:6396	KPNA3	O00505 karyopherin alpha 3 (importin alpha 4)	13q14.3
3751	HGNC:6397	KPNA4	O00629 karyopherin alpha 4 (importin alpha 3)	3q25.33
3752	HGNC:6398	KPNA5	O15131 karyopherin alpha 5 (importin alpha 6)	6q22.2
3753	HGNC:6399	KPNA6	O60684 karyopherin alpha 6 (importin alpha 7)	1p35.1
3754	HGNC:6400	KPNB1	Q14974 karyopherin (importin) beta 1	17q21.32
3755	HGNC:6401	TNPO1	Q92973 transportin 1	5q13.1
3756	HGNC:6402	IPO5	O00410 importin 5	13q32.2
3757	HGNC:6404	KPTN	Q9Y664 kaptin (actin binding protein)	19q13.3
3758	HGNC:6407	KRAS	P01116 Kirsten rat sarcoma viral oncogene homolog	12p12.1
3759	HGNC:6408	MAFB	Q9Y5Q3 v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B	20q11.1-q13.1
3760	HGNC:6412	KRT1	P04264 keratin 1	12q13.13
3761	HGNC:6413	KRT10	P13645 keratin 10	17q21.2
3762	HGNC:6414	KRT12	Q99456 keratin 12	17q21.2
3763	HGNC:6415	KRT13	P13646 keratin 13	17q21.2
3764	HGNC:6416	KRT14	P02533 keratin 14	17q21.2
3765	HGNC:6421	KRT15	P19012 keratin 15	17q21.2
3766	HGNC:6423	KRT16	P08779 keratin 16	17q21.2
3767	HGNC:6427	KRT17	Q04695 keratin 17	17q21.2
3768	HGNC:6430	KRT18	P05783 keratin 18	12q13
3769	HGNC:6436	KRT19	P08727 keratin 19	17q21.2
3770	HGNC:6438	KRT23	Q9C075 keratin 23 (histone deacetylase inducible)	17q21.2
3771	HGNC:6439	KRT2	P35908 keratin 2	12q13.13
3772	HGNC:6440	KRT3	P12035 keratin 3	12q13.13
3773	HGNC:6441	KRT4	P19013 keratin 4	12q13.13
3774	HGNC:6442	KRT5	P13647 keratin 5	12q13.13
3775	HGNC:6443	KRT6A	P02538 keratin 6A	12q13.13
3776	HGNC:6444	KRT6B	P04259 keratin 6B	12q13.13
3777	HGNC:6445	KRT7	P08729 keratin 7	12q13.13
3778	HGNC:6446	KRT8	P05787 keratin 8	12q13.13
3779	HGNC:6447	KRT9	P35527 keratin 9	17q21.2
3780	HGNC:6448	KRT31	Q15323 keratin 31	17q21.2
3781	HGNC:6449	KRT32	Q14532 keratin 32	17q21.2
3782	HGNC:6450	KRT33A	O76009 keratin 33A	17q21.2
3783	HGNC:6451	KRT33B	Q14525 keratin 33B	17q21.2
3784	HGNC:6452	KRT34	O76011 keratin 34	17q21.2
3785	HGNC:6453	KRT35	Q92764 keratin 35	17q21.2
3786	HGNC:6454	KRT36	O76013 keratin 36	17q21.2
3787	HGNC:6455	KRT37	O76014 keratin 37	17q21.2
3788	HGNC:6456	KRT38	O76015 keratin 38	17q21.2
3789	HGNC:6458	KRT81	Q14533 keratin 81	12q13
3790	HGNC:6459	KRT82	Q9NSB4 keratin 82	12q13
3791	HGNC:6460	KRT83	P78385 keratin 83	12q13.13
3792	HGNC:6461	KRT84	Q9NSB2 keratin 84	12q13
3793	HGNC:6462	KRT85	P78386 keratin 85	12q13.13
3794	HGNC:6463	KRT86	O43790 keratin 86	12q13
3795	HGNC:6465	KSR1	Q8IVT5 kinase suppressor of ras 1	17q11.2
3796	HGNC:6467	KTN1	Q86UP2 kinectin 1 (kinesin receptor)	14q22.1
3797	HGNC:6469	KYNU	Q16719 kynureninase	2q22.2
3798	HGNC:6470	L1CAM	P32004 L1 cell adhesion molecule	Xq28
3799	HGNC:6472	LAD1	O00515 ladinin 1	1q25.1-q32.3
3800	HGNC:6473	AFF3	P51826 AF4/FMR2 family, member 3	2q11.2-q12
3801	HGNC:6476	LAG3	P18627 lymphocyte-activation gene 3	12p13.3
3802	HGNC:6477	LAIR1	Q6GTX8 leukocyte-associated immunoglobulin-like receptor 1	19q13.4
3803	HGNC:6478	LAIR2	Q6ISS4 leukocyte-associated immunoglobulin-like receptor 2	19q13.4
3804	HGNC:6480	LALBA	P00709 lactalbumin, alpha-	12q13
3805	HGNC:6481	LAMA1	P25391 laminin, alpha 1	18p11.3
3806	HGNC:6482	LAMA2	P24043 laminin, alpha 2	6q22-q23
3807	HGNC:6483	LAMA3	Q16787 laminin, alpha 3	18q11.2
3808	HGNC:6484	LAMA4	Q16363 laminin, alpha 4	6q21
3809	HGNC:6485	LAMA5	O15230 laminin, alpha 5	20q13.2-q13.3
3810	HGNC:6486	LAMB1	P07942 laminin, beta 1	7q22
3811	HGNC:6487	LAMB2	P55268 laminin, beta 2 (laminin S)	3p21.3-p21.2
3812	HGNC:6490	LAMB3	Q13751 laminin, beta 3	1q32
3813	HGNC:6491	LAMB4	A4D0S4 laminin, beta 4	7q31
3814	HGNC:6492	LAMC1	P11047 laminin, gamma 1 (formerly LAMB2)	1q31
3815	HGNC:6493	LAMC2	Q13753 laminin, gamma 2	1q25-q31
3816	HGNC:6494	LAMC3	Q9Y6N6 laminin, gamma 3	9q31-q34
3817	HGNC:6499	LAMP1	P11279 lysosomal-associated membrane protein 1	13q34
3818	HGNC:6501	LAMP2	P13473 lysosomal-associated membrane protein 2	Xq24-q25
3819	HGNC:6502	RPSA	P08865 ribosomal protein SA	3p21.3
3820	HGNC:6508	LANCL1	O43813 LanC lantibiotic synthetase component C-like 1 (bacterial)	2q33-q35
3821	HGNC:6509	LANCL2	Q9NS86 LanC lantibiotic synthetase component C-like 2 (bacterial)	7q31.1-q31.33
3822	HGNC:6510	STMN1	P16949 stathmin 1	1p36.11
3823	HGNC:6511	LARGE	O95461 like-glycosyltransferase	22q12.3
3824	HGNC:6512	LARS	Q9P2J5 leucyl-tRNA synthetase	5q32
3825	HGNC:6513	LASP1	Q14847 LIM and SH3 protein 1	17q11-q21.3
3826	HGNC:6514	LATS1	O95835 large tumor suppressor kinase 1	6q25.1
3827	HGNC:6515	LATS2	Q9NRM7 large tumor suppressor kinase 2	13q11-q12
3828	HGNC:6517	LBP	P18428 lipopolysaccharide binding protein	20q11.23
3829	HGNC:6518	LBR	Q14739 lamin B receptor	1q42.1
3830	HGNC:6522	LCAT	P04180 lecithin-cholesterol acyltransferase	16q22.1
3831	HGNC:6524	LCK	P06239 lymphocyte-specific protein tyrosine kinase	1p34.3
3832	HGNC:6525	LCN1	P31025 lipocalin 1	9q34
3833	HGNC:6526	LCN2	P80188 lipocalin 2	9q34
3834	HGNC:6528	LCP1	P13796 lymphocyte cytosolic protein 1 (L-plastin)	13q14.3
3835	HGNC:6529	LCP2	Q13094 lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	5q35.1
3836	HGNC:6530	LCT	P09848 lactase	2q21
3837	HGNC:6532	LDB1	Q86U70 LIM domain binding 1	10q24-q25
3838	HGNC:6533	LDB2	O43679 LIM domain binding 2	4p16
3839	HGNC:6535	LDHA	P00338 lactate dehydrogenase A	11p15.1
3840	HGNC:6541	LDHB	P07195 lactate dehydrogenase B	12p12.2-p12.1
3841	HGNC:6544	LDHC	P07864 lactate dehydrogenase C	11p15.1
3842	HGNC:6545	COG1	Q8WTW3 component of oligomeric golgi complex 1	17q25.1
3843	HGNC:6546	COG2	Q14746 component of oligomeric golgi complex 2	1q42.2
3844	HGNC:6547	LDLR	P01130 low density lipoprotein receptor	19p13.2
3845	HGNC:6548	LDOC1	O95751 leucine zipper, down-regulated in cancer 1	Xq27
3846	HGNC:6550	LECT2	O14960 leukocyte cell-derived chemotaxin 2	5q31.1
3847	HGNC:6551	LEF1	Q9UJU2 lymphoid enhancer-binding factor 1	4q23-q25
3848	HGNC:6552	LEFTY1	O75610 left-right determination factor 1	1q42.1
3849	HGNC:6553	LEP	P41159 leptin	7q31
3850	HGNC:6554	LEPR	P48357 leptin receptor	1p31
3851	HGNC:6555	LEPROTL1	O95214 leptin receptor overlapping transcript-like 1	8p21
3852	HGNC:6556	LETM1	O95202 leucine zipper-EF-hand containing transmembrane protein 1	4p16.3
3853	HGNC:6560	LFNG	Q8NES3 LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	7p22.3
3854	HGNC:6561	LGALS1	P09382 lectin, galactoside-binding, soluble, 1	22q13.1
3855	HGNC:6562	LGALS2	P05162 lectin, galactoside-binding, soluble, 2	22q13.1
3856	HGNC:6563	LGALS3	P17931 lectin, galactoside-binding, soluble, 3	14q22.3
3857	HGNC:6564	LGALS3BP	Q08380 lectin, galactoside-binding, soluble, 3 binding protein	17q25
3858	HGNC:6565	LGALS4	P56470 lectin, galactoside-binding, soluble, 4	19q13.2
3859	HGNC:6568	LGALS7	P47929 lectin, galactoside-binding, soluble, 7	19q13.13
3860	HGNC:6569	LGALS8	O00214 lectin, galactoside-binding, soluble, 8	1q43
3861	HGNC:6570	LGALS9	O00182 lectin, galactoside-binding, soluble, 9	17q11.2
3862	HGNC:6572	LGI1	O95970 leucine-rich, glioma inactivated 1	10q24
3863	HGNC:6583	EIF2D	P41214 eukaryotic translation initiation factor 2D	1q32.1
3864	HGNC:6584	LHB	P01229 luteinizing hormone beta polypeptide	19q13.3
3865	HGNC:6585	LHCGR	P22888 luteinizing hormone/choriogonadotropin receptor	2p21
3866	HGNC:6586	LHFP	Q9Y693 lipoma HMGIC fusion partner	13q12
3867	HGNC:6587	LHFPL1	Q86WI0 lipoma HMGIC fusion partner-like 1	Xq23
3868	HGNC:6588	LHFPL2	Q6ZUX7 lipoma HMGIC fusion partner-like 2	5q13
3869	HGNC:6589	LHFPL3	Q86UP9 lipoma HMGIC fusion partner-like 3	7q22.2
3870	HGNC:6593	LHX1	P48742 LIM homeobox 1	17q12
3871	HGNC:6594	LHX2	P50458 LIM homeobox 2	9q33.3
3872	HGNC:6595	LHX3	Q9UBR4 LIM homeobox 3	9q34.3
3873	HGNC:6596	LIF	P15018 leukemia inhibitory factor	22q12.2
3874	HGNC:6597	LIFR	P42702 leukemia inhibitory factor receptor alpha	5p13-p12
3875	HGNC:6598	LIG1	P18858 ligase I, DNA, ATP-dependent	19q13.2-q13.3
3876	HGNC:6600	LIG3	P49916 ligase III, DNA, ATP-dependent	17q11.2-q12
3877	HGNC:6601	LIG4	P49917 ligase IV, DNA, ATP-dependent	13q33-q34
3878	HGNC:6602	LILRA1	O75019 leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1	19q13.4
3879	HGNC:6603	LILRA2	Q8N149 leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	19q13.4
3880	HGNC:6604	LILRA3	Q8N6C8 leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	19q13.4
3881	HGNC:6605	LILRB1	Q8NHL6 leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	19q13.4
3882	HGNC:6606	LILRB2	Q8N423 leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	19q13.4
3883	HGNC:6607	LILRB3	O75022 leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	19q13.4
3884	HGNC:6608	LILRB4	Q8NHJ6 leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4	19q13.4
3885	HGNC:6609	LILRB5	O75023 leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	19q13.4
3886	HGNC:6610	LIM2	P55344 lens intrinsic membrane protein 2, 19kDa	19q13.4
3887	HGNC:6612	LIMD1	Q9UGP4 LIM domains containing 1	3p21.31
3888	HGNC:6613	LIMK1	P53667 LIM domain kinase 1	7q11.23
3889	HGNC:6614	LIMK2	P53671 LIM domain kinase 2	22q12
3890	HGNC:6616	LIMS1	P48059 LIM and senescent cell antigen-like domains 1	2q12.3
3891	HGNC:6617	LIPA	P38571 lipase A, lysosomal acid, cholesterol esterase	10q23.2-q23.3
3892	HGNC:6619	LIPC	P11150 lipase, hepatic	15q21-q23
3893	HGNC:6621	LIPE	Q05469 lipase, hormone-sensitive	19q13.1-q13.2
3894	HGNC:6622	LIPF	P07098 lipase, gastric	10q23
3895	HGNC:6623	LIPG	Q9Y5X9 lipase, endothelial	18q21.1
3896	HGNC:6628	LLGL1	Q15334 lethal giant larvae homolog 1 (Drosophila)	17p11.2
3897	HGNC:6629	LLGL2	Q6P1M3 lethal giant larvae homolog 2 (Drosophila)	17q25.1
3898	HGNC:6631	LMAN1	P49257 lectin, mannose-binding, 1	18q21.3-q22
3899	HGNC:6632	LMAN1L	Q9HAT1 lectin, mannose-binding, 1 like	15q24.1
3900	HGNC:6633	LMCD1	Q9NZU5 LIM and cysteine-rich domains 1	3p26-p24
3901	HGNC:6636	LMNA	P02545 lamin A/C	1q22
3902	HGNC:6637	LMNB1	P20700 lamin B1	5q23.2
3903	HGNC:6638	LMNB2	Q03252 lamin B2	19p13.3
3904	HGNC:6641	LMO1	P25800 LIM domain only 1 (rhombotin 1)	11p15
3905	HGNC:6642	LMO2	P25791 LIM domain only 2 (rhombotin-like 1)	11p13
3906	HGNC:6643	LMO3	Q8TAP4 LIM domain only 3 (rhombotin-like 2)	12p13
3907	HGNC:6644	LMO4	P61968 LIM domain only 4	1p22.3
3908	HGNC:6645	PRICKLE3	O43900 prickle homolog 3 (Drosophila)	Xp11.23
3909	HGNC:6646	LMO7	Q8WWI1 LIM domain 7	13q22.2
3910	HGNC:6647	LMOD1	P29536 leiomodin 1 (smooth muscle)	1q32.1
3911	HGNC:6648	LMOD2	Q6P5Q4 leiomodin 2 (cardiac)	7q31.32
3912	HGNC:6649	LMOD3	Q0VAK6 leiomodin 3 (fetal)	3p14.1
3913	HGNC:6653	LMX1A	Q8TE12 LIM homeobox transcription factor 1, alpha	1q24.1
3914	HGNC:6654	LMX1B	O60663 LIM homeobox transcription factor 1, beta	9q33.3
3915	HGNC:6656	LNPEP	Q9UIQ6 leucyl/cystinyl aminopeptidase	5q15
3916	HGNC:6657	LNX1	Q8TBB1 ligand of numb-protein X 1, E3 ubiquitin protein ligase	4q12
3917	HGNC:6658	VWA5A	O00534 von Willebrand factor A domain containing 5A	11q24.1
3918	HGNC:6663	LOR	P23490 loricrin	1q21
3919	HGNC:6664	LOX	P28300 lysyl oxidase	5q23.3-q31.2
3920	HGNC:6665	LOXL1	Q08397 lysyl oxidase-like 1	15q24-q25
3921	HGNC:6666	LOXL2	Q9Y4K0 lysyl oxidase-like 2	8p21.3
3922	HGNC:6667	LPA	P08519 lipoprotein, Lp(a)	6q25-q26
3923	HGNC:6677	LPL	P06858 lipoprotein lipase	8p22
3924	HGNC:6678	LPO	P22079 lactoperoxidase	17q23.1
3925	HGNC:6679	LPP	Q93052 LIM domain containing preferred translocation partner in lipoma	3q27-q28
3926	HGNC:6685	LRAT	O95237 lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)	4q32.1
3927	HGNC:6690	LRMP	Q12912 lymphoid-restricted membrane protein	12p12.1
3928	HGNC:6691	LRCH4	O75427 leucine-rich repeats and calponin homology (CH) domain containing 4	7q22
3929	HGNC:6692	LRP1	Q07954 low density lipoprotein receptor-related protein 1	12q13.3
3930	HGNC:6693	LRP1B	Q9NZR2 low density lipoprotein receptor-related protein 1B	2q21.2
3931	HGNC:6694	LRP2	P98164 low density lipoprotein receptor-related protein 2	2q31.1
3932	HGNC:6695	LRP3	O75074 low density lipoprotein receptor-related protein 3	19q13.11
3933	HGNC:6696	LRP4	O75096 low density lipoprotein receptor-related protein 4	11p11.2
3934	HGNC:6697	LRP5	O75197 low density lipoprotein receptor-related protein 5	11q13.4
3935	HGNC:6698	LRP6	O75581 low density lipoprotein receptor-related protein 6	12p13.2
3936	HGNC:6700	LRP8	Q14114 low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	1p32.3
3937	HGNC:6701	LRPAP1	P30533 low density lipoprotein receptor-related protein associated protein 1	4p16.3
3938	HGNC:6702	LRRFIP1	Q32MZ4 leucine rich repeat (in FLII) interacting protein 1	2q37.3
3939	HGNC:6703	LRRFIP2	Q9Y608 leucine rich repeat (in FLII) interacting protein 2	3p22.1
3940	HGNC:6705	LSAMP	Q13449 limbic system-associated membrane protein	3q13.2-q21
3941	HGNC:6707	LSP1	P33241 lymphocyte-specific protein 1	11p15.5
3942	HGNC:6708	LSS	P48449 lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	21q22.3
3943	HGNC:6709	LTA	P01374 lymphotoxin alpha	6p21.3
3944	HGNC:6710	LTA4H	P09960 leukotriene A4 hydrolase	12q22
3945	HGNC:6711	LTB	Q06643 lymphotoxin beta (TNF superfamily, member 3)	6p21.3
3946	HGNC:6713	LTB4R	Q15722 leukotriene B4 receptor	14q11.2-q12
3947	HGNC:6714	LTBP1	Q14766 latent transforming growth factor beta binding protein 1	2p22-p21
3948	HGNC:6715	LTBP2	Q14767 latent transforming growth factor beta binding protein 2	14q24.3
3949	HGNC:6716	LTBP3	Q9NS15 latent transforming growth factor beta binding protein 3	11q12
3950	HGNC:6717	LTBP4	Q8N2S1 latent transforming growth factor beta binding protein 4	19q13.1-q13.2
3951	HGNC:6718	LTBR	P36941 lymphotoxin beta receptor (TNFR superfamily, member 3)	12p13
3952	HGNC:6719	LTC4S	Q16873 leukotriene C4 synthase	5q35
3953	HGNC:6720	LTF	P02788 lactotransferrin	3p21.31
3954	HGNC:6721	LTK	P29376 leukocyte receptor tyrosine kinase	15q15.1-q21.1
3955	HGNC:6722	BCAM	P50895 basal cell adhesion molecule (Lutheran blood group)	19q12-q13
3956	HGNC:6723	LUC7L	Q9NQ29 LUC7-like (S. cerevisiae)	16p13.3
3957	HGNC:6724	LUM	P51884 lumican	12q21.3-q22
3958	HGNC:6726	CD180	Q99467 CD180 molecule	5q12
3959	HGNC:6727	LY6E	Q16553 lymphocyte antigen 6 complex, locus E	8q24
3960	HGNC:6728	LY6H	O94772 lymphocyte antigen 6 complex, locus H	8q24.3
3961	HGNC:6729	LY75	O60449 lymphocyte antigen 75	2q24
3962	HGNC:6730	LY9	Q9HBG7 lymphocyte antigen 9	1q23.3
3963	HGNC:6731	NCR1	O76036 natural cytotoxicity triggering receptor 1	19q13.42
3964	HGNC:6732	NCR2	O95944 natural cytotoxicity triggering receptor 2	6p21.1
3965	HGNC:6734	LYL1	P12980 lymphoblastic leukemia associated hematopoiesis regulator 1	19p13.2
3966	HGNC:6735	LYN	P07948 v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	8q13
3967	HGNC:6737	LYPLA1	O75608 lysophospholipase I	8q11.23-q12.1
3968	HGNC:6738	LYPLA2	O95372 lysophospholipase II	1p36.11
3969	HGNC:6740	LYZ	P61626 lysozyme	12q15
3970	HGNC:6741	LZTFL1	Q9NQ48 leucine zipper transcription factor-like 1	3p21.3
3971	HGNC:6742	LZTR1	Q8N653 leucine-zipper-like transcription regulator 1	22q11.21
3972	HGNC:6743	CAPRIN1	Q14444 cell cycle associated protein 1	11p13
3973	HGNC:6746	NBR1	Q14596 neighbor of BRCA1 gene 1	17q21.31
3974	HGNC:6752	M6PR	P20645 mannose-6-phosphate receptor (cation dependent)	12p13.31
3975	HGNC:6757	MAB21L1	Q13394 mab-21-like 1 (C. elegans)	13q13.3
3976	HGNC:6758	MAB21L2	Q9Y586 mab-21-like 2 (C. elegans)	4q31.3
3977	HGNC:6759	MARCKS	P29966 myristoylated alanine-rich protein kinase C substrate	6q21
3978	HGNC:6761	MXD1	Q05195 MAX dimerization protein 1	2p13-p12
3979	HGNC:6762	MAD1L1	Q9Y6D9 MAD1 mitotic arrest deficient-like 1 (yeast)	7p22
3980	HGNC:6763	MAD2L1	Q13257 MAD2 mitotic arrest deficient-like 1 (yeast)	4q27
3981	HGNC:6764	MAD2L2	Q9UI95 MAD2 mitotic arrest deficient-like 2 (yeast)	1p36
3982	HGNC:6765	MADCAM1	Q13477 mucosal vascular addressin cell adhesion molecule 1	19p13.3
3983	HGNC:6766	MADD	Q8WXG6 MAP-kinase activating death domain	11p11.2
3984	HGNC:6767	SMAD1	Q15797 SMAD family member 1	4q31.21
3985	HGNC:6768	SMAD2	Q15796 SMAD family member 2	18q21
3986	HGNC:6769	SMAD3	P84022 SMAD family member 3	15q21-q22
3987	HGNC:6770	SMAD4	Q13485 SMAD family member 4	18q21.1
3988	HGNC:6771	SMAD5	Q99717 SMAD family member 5	5q31
3989	HGNC:6772	SMAD6	O43541 SMAD family member 6	15q21-q22
3990	HGNC:6773	SMAD7	O15105 SMAD family member 7	18q21.1
3991	HGNC:6774	SMAD9	O15198 SMAD family member 9	13q12-q14
3992	HGNC:6775	ZFYVE9	O95405 zinc finger, FYVE domain containing 9	1p32.3
3993	HGNC:6776	MAF	O75444 v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog	16q22-q23
3994	HGNC:6780	MAFF	Q9ULX9 v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F	22q13.1
3995	HGNC:6781	MAFG	O15525 v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog G	17q25.3
3996	HGNC:6782	MAFK	O60675 v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K	7p22
3997	HGNC:6783	MAG	P20916 myelin associated glycoprotein	19q13.1
3998	HGNC:6796	MAGEA1	P43355 melanoma antigen family A, 1 (directs expression of antigen MZ2-E)	Xq28
3999	HGNC:6797	MAGEA10	P43363 melanoma antigen family A, 10	Xq28
4000	HGNC:6798	MAGEA11	P43364 melanoma antigen family A, 11	Xq28
4001	HGNC:6799	MAGEA12	P43365 melanoma antigen family A, 12	Xq28
4002	HGNC:6800	MAGEA2	P43356 melanoma antigen family A, 2	Xq28
4003	HGNC:6801	MAGEA3	P43357 melanoma antigen family A, 3	Xq28
4004	HGNC:6802	MAGEA4	P43358 melanoma antigen family A, 4	Xq28
4005	HGNC:6803	MAGEA5	P43359 melanoma antigen family A, 5	Xq28
4006	HGNC:6804	MAGEA6	P43360 melanoma antigen family A, 6	Xq28
4007	HGNC:6806	MAGEA8	P43361 melanoma antigen family A, 8	Xq28
4008	HGNC:6807	MAGEA9	P43362 melanoma antigen family A, 9	Xq28
4009	HGNC:6808	MAGEB1	P43366 melanoma antigen family B, 1	Xp21.3
4010	HGNC:6809	MAGEB2	O15479 melanoma antigen family B, 2	Xp21.3
4011	HGNC:6810	MAGEB3	O15480 melanoma antigen family B, 3	Xp21.3
4012	HGNC:6811	MAGEB4	O15481 melanoma antigen family B, 4	Xp21.3
4013	HGNC:6812	MAGEC1	O60732 melanoma antigen family C, 1	Xq26
4014	HGNC:6813	MAGED1	Q9Y5V3 melanoma antigen family D, 1	Xp11.23
4015	HGNC:6814	MAGEL2	Q9UJ55 MAGE-like 2	15q11-q12
4016	HGNC:6815	MAGOH	P61326 mago-nashi homolog, proliferation-associated (Drosophila)	1p32.3
4017	HGNC:6816	MAK	P20794 male germ cell-associated kinase	6p24.2
4018	HGNC:6817	MAL	P21145 mal, T-cell differentiation protein	2q11.1
4019	HGNC:6818	MALL	Q13021 mal, T-cell differentiation protein-like	2q13
4020	HGNC:6819	MALT1	Q9UDY8 mucosa associated lymphoid tissue lymphoma translocation gene 1	18q21
4021	HGNC:6821	MAN1A1	P33908 mannosidase, alpha, class 1A, member 1	6q22
4022	HGNC:6822	MAN1A2	O60476 mannosidase, alpha, class 1A, member 2	1p13
4023	HGNC:6823	MAN1B1	Q9UKM7 mannosidase, alpha, class 1B, member 1	9q34.3
4024	HGNC:6824	MAN2A1	Q16706 mannosidase, alpha, class 2A, member 1	5q21.3
4025	HGNC:6825	MAN2A2	P49641 mannosidase, alpha, class 2A, member 2	15q25
4026	HGNC:6826	MAN2B1	O00754 mannosidase, alpha, class 2B, member 1	19p13.2
4027	HGNC:6827	MAN2C1	Q9NTJ4 mannosidase, alpha, class 2C, member 1	15q24.2
4028	HGNC:6831	MANBA	O00462 mannosidase, beta A, lysosomal	4q24
4029	HGNC:6833	MAOA	P21397 monoamine oxidase A	Xp11.4-p11.3
4030	HGNC:6834	MAOB	P27338 monoamine oxidase B	Xp11.4-p11.3
4031	HGNC:6835	MAP1A	P78559 microtubule-associated protein 1A	15q15.3
4032	HGNC:6836	MAP1B	P46821 microtubule-associated protein 1B	5q13
4033	HGNC:6838	MAP1LC3A	Q9H492 microtubule-associated protein 1 light chain 3 alpha	20q11.22
4034	HGNC:6839	MAP2	P11137 microtubule-associated protein 2	2q34-q35
4035	HGNC:6840	MAP2K1	Q02750 mitogen-activated protein kinase kinase 1	15q22.1-q22.33
4036	HGNC:6842	MAP2K2	P36507 mitogen-activated protein kinase kinase 2	19p13.3
4037	HGNC:6843	MAP2K3	P46734 mitogen-activated protein kinase kinase 3	17q11.2
4038	HGNC:6844	MAP2K4	P45985 mitogen-activated protein kinase kinase 4	17p12
4039	HGNC:6845	MAP2K5	Q13163 mitogen-activated protein kinase kinase 5	15q22.31
4040	HGNC:6846	MAP2K6	P52564 mitogen-activated protein kinase kinase 6	17q
4041	HGNC:6847	MAP2K7	O14733 mitogen-activated protein kinase kinase 7	19p13.3-p13.2
4042	HGNC:6848	MAP3K1	Q13233 mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase	5q11.2
4043	HGNC:6849	MAP3K10	Q02779 mitogen-activated protein kinase kinase kinase 10	19q13.2
4044	HGNC:6850	MAP3K11	Q16584 mitogen-activated protein kinase kinase kinase 11	11q13.1-q13.3
4045	HGNC:6851	MAP3K12	Q12852 mitogen-activated protein kinase kinase kinase 12	12q13.13
4046	HGNC:6852	MAP3K13	O43283 mitogen-activated protein kinase kinase kinase 13	3q27
4047	HGNC:6853	MAP3K14	Q99558 mitogen-activated protein kinase kinase kinase 14	17q21-q22
4048	HGNC:6854	MAP3K2	Q9Y2U5 mitogen-activated protein kinase kinase kinase 2	2q21.1
4049	HGNC:6855	MAP3K3	Q99759 mitogen-activated protein kinase kinase kinase 3	17q
4050	HGNC:6856	MAP3K4	Q9Y6R4 mitogen-activated protein kinase kinase kinase 4	6q26
4051	HGNC:6857	MAP3K5	Q99683 mitogen-activated protein kinase kinase kinase 5	6q22.33
4052	HGNC:6858	MAP3K6	O95382 mitogen-activated protein kinase kinase kinase 6	1p36.11
4053	HGNC:6859	MAP3K7	O43318 mitogen-activated protein kinase kinase kinase 7	6q15
4054	HGNC:6860	MAP3K8	P41279 mitogen-activated protein kinase kinase kinase 8	10p11.2
4055	HGNC:6861	MAP3K9	P80192 mitogen-activated protein kinase kinase kinase 9	14q24.2
4056	HGNC:6862	MAP4	P27816 microtubule-associated protein 4	3p21
4057	HGNC:6863	MAP4K1	Q92918 mitogen-activated protein kinase kinase kinase kinase 1	19q13.1-q13.4
4058	HGNC:6864	MAP4K2	Q12851 mitogen-activated protein kinase kinase kinase kinase 2	11q13.1
4059	HGNC:6865	MAP4K3	Q8IVH8 mitogen-activated protein kinase kinase kinase kinase 3	2p22.3
4060	HGNC:6866	MAP4K4	O95819 mitogen-activated protein kinase kinase kinase kinase 4	2q11.2-q12
4061	HGNC:6867	MAP4K5	Q9Y4K4 mitogen-activated protein kinase kinase kinase kinase 5	14q11.2-q21
4062	HGNC:6868	MAP6	Q96JE9 microtubule-associated protein 6	11q13.5
4063	HGNC:6869	MAP7	Q14244 microtubule-associated protein 7	6q23.2
4064	HGNC:6871	MAPK1	P28482 mitogen-activated protein kinase 1	22q11.2
4065	HGNC:6872	MAPK10	P53779 mitogen-activated protein kinase 10	4q22-q23
