Symbol	UniProt	UMLS_CUI	SE_name	Qval
2308	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0151611	Electroencephalogram abnormal	6.4265e-09
2309	SLC10A2	Q12908 solute carrier family 10 (sodium/bile acid cotransporter), member 2	C0342579	Electrolyte imbalance	6.4265e-09
2310	CA3	P07451 carbonic anhydrase III, muscle specific	C0342579	Electrolyte imbalance	6.4265e-09
2311	SLC4A1	P02730 solute carrier family 4 (anion exchanger), member 1 (Diego blood group)	C0342579	Electrolyte imbalance	6.4265e-09
2312	KCNMA1	Q12791 potassium large conductance calcium-activated channel, subfamily M, alpha member 1	C0342579	Electrolyte imbalance	6.4265e-09
2313	PDGFRA	P16234 platelet-derived growth factor receptor, alpha polypeptide	C0549124	Embolism arterial	6.4265e-09
2314	PDGFRB	P09619 platelet-derived growth factor receptor, beta polypeptide	C0549124	Embolism arterial	6.4265e-09
2315	KDR	P35968 kinase insert domain receptor (a type III receptor tyrosine kinase)	C0549124	Embolism arterial	6.4265e-09
2316	TEK	Q02763 TEK tyrosine kinase, endothelial	C0549124	Embolism arterial	6.4265e-09
2317	ADRA2C	P18825 adrenoceptor alpha 2C	C0233459	Emotional disorder	6.4265e-09
2318	ADRA2A	P08913 adrenoceptor alpha 2A	C0233459	Emotional disorder	6.4265e-09
2319	ADRA2B	P18089 adrenoceptor alpha 2B	C0233459	Emotional disorder	6.4265e-09
2320	GABRG3	Q99928 gamma-aminobutyric acid (GABA) A receptor, gamma 3	C0700361	Emotional distress	6.4265e-09
2321	GABRA5	P31644 gamma-aminobutyric acid (GABA) A receptor, alpha 5	C0700361	Emotional distress	6.4265e-09
2322	GABRG1	Q8N1C3 gamma-aminobutyric acid (GABA) A receptor, gamma 1	C0700361	Emotional distress	6.4265e-09
2323	CYP19A1	P11511 cytochrome P450, family 19, subfamily A, polypeptide 1	C0700361	Emotional distress	6.4265e-09
2324	GABRA1	P14867 gamma-aminobutyric acid (GABA) A receptor, alpha 1	C0700361	Emotional distress	6.4265e-09
2325	GABRB3	P28472 gamma-aminobutyric acid (GABA) A receptor, beta 3	C0700361	Emotional distress	6.4265e-09
2326	GABRA3	P34903 gamma-aminobutyric acid (GABA) A receptor, alpha 3	C0700361	Emotional distress	6.4265e-09
2327	GABRP	O00591 gamma-aminobutyric acid (GABA) A receptor, pi	C0700361	Emotional distress	6.4265e-09
2328	GABRQ	Q9UN88 gamma-aminobutyric acid (GABA) A receptor, theta	C0700361	Emotional distress	6.4265e-09
2329	GABRA2	P47869 gamma-aminobutyric acid (GABA) A receptor, alpha 2	C0700361	Emotional distress	6.4265e-09
2330	SCNN1A	P37088 sodium channel, non-voltage-gated 1 alpha subunit	C0085584	Encephalopathy	6.4265e-09
2331	SCN9A	Q15858 sodium channel, voltage-gated, type IX, alpha subunit	C0085584	Encephalopathy	6.4265e-09
2332	SCN4B	Q8IWT1 sodium channel, voltage-gated, type IV, beta subunit	C0085584	Encephalopathy	6.4265e-09
2333	SCN3B	Q9NY72 sodium channel, voltage-gated, type III, beta subunit	C0085584	Encephalopathy	6.4265e-09
2334	SCNN1D	P51172 sodium channel, non-voltage-gated 1, delta subunit	C0085584	Encephalopathy	6.4265e-09
2335	MAOB	P27338 monoamine oxidase B	C0085584	Encephalopathy	6.4265e-09
2336	SCN2B	O60939 sodium channel, voltage-gated, type II, beta subunit	C0085584	Encephalopathy	6.4265e-09
2337	CHRNA10	Q9GZZ6 cholinergic receptor, nicotinic, alpha 10 (neuronal)	C0085584	Encephalopathy	6.4265e-09
2338	SCN4A	P35499 sodium channel, voltage-gated, type IV, alpha subunit	C0085584	Encephalopathy	6.4265e-09
2339	SCN5A	Q14524 sodium channel, voltage-gated, type V, alpha subunit	C0085584	Encephalopathy	6.4265e-09
2340	SCN7A	Q01118 sodium channel, voltage-gated, type VII, alpha subunit	C0085584	Encephalopathy	6.4265e-09
2341	SCNN1G	P51170 sodium channel, non-voltage-gated 1, gamma subunit	C0085584	Encephalopathy	6.4265e-09
2342	SCN11A	Q9UI33 sodium channel, voltage-gated, type XI, alpha subunit	C0085584	Encephalopathy	6.4265e-09
2343	SCNN1B	P51168 sodium channel, non-voltage-gated 1, beta subunit	C0085584	Encephalopathy	6.4265e-09
2344	SCN1B	Q07699 sodium channel, voltage-gated, type I, beta subunit	C0085584	Encephalopathy	6.4265e-09
2345	HCRTR2	O43614 hypocretin (orexin) receptor 2	C0553980	Endocardial fibrosis	6.4265e-09
2346	PGR	P06401 progesterone receptor	C0014130	Endocrine disorder	6.4265e-09
2347	DRD3	P35462 dopamine receptor D3	C0014130	Endocrine disorder	6.4265e-09
2348	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0014130	Endocrine disorder	6.4265e-09
2349	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0014130	Endocrine disorder	6.4265e-09
2350	ESR2	Q92731 estrogen receptor 2 (ER beta)	C0014130	Endocrine disorder	6.4265e-09
2351	DRD4	P21917 dopamine receptor D4	C0014130	Endocrine disorder	6.4265e-09
2352	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0014130	Endocrine disorder	6.4265e-09
2353	HTR6	P50406 5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled	C0014130	Endocrine disorder	6.4265e-09
2354	ADRA1B	P35368 adrenoceptor alpha 1B	C0014130	Endocrine disorder	6.4265e-09
2355	HTR7	P34969 5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled	C0014130	Endocrine disorder	6.4265e-09
2356	HTR2A	P28223 5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	C0014130	Endocrine disorder	6.4265e-09
2357	HTR2C	P28335 5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	C0014130	Endocrine disorder	6.4265e-09
2358	PDE4B	Q07343 phosphodiesterase 4B, cAMP-specific	C0014130	Endocrine disorder	6.4265e-09
2359	DRD5	P21918 dopamine receptor D5	C0014130	Endocrine disorder	6.4265e-09
2360	ADRA1A	P35348 adrenoceptor alpha 1A	C0014130	Endocrine disorder	6.4265e-09
2361	PGR	P06401 progesterone receptor	C0476089	Endometrial cancer	6.4265e-09
2362	CYP19A1	P11511 cytochrome P450, family 19, subfamily A, polypeptide 1	C0476089	Endometrial cancer	6.4265e-09
2363	HSD17B1	P14061 hydroxysteroid (17-beta) dehydrogenase 1	C0476089	Endometrial cancer	6.4265e-09
2364	HSD17B1	P14061 hydroxysteroid (17-beta) dehydrogenase 1	C0014173	Endometrial hyperplasia	6.4265e-09
2365	CYP19A1	P11511 cytochrome P450, family 19, subfamily A, polypeptide 1	C0014173	Endometrial hyperplasia	6.4265e-09
2366	PTGER2	P43116 prostaglandin E receptor 2 (subtype EP2), 53kDa	C0014179	Endometritis	6.4265e-09
2367	PTGER1	P34995 prostaglandin E receptor 1 (subtype EP1), 42kDa	C0014179	Endometritis	6.4265e-09
2368	FDPS	P14324 farnesyl diphosphate synthase	C0014236	Endophthalmitis	6.4265e-09
2369	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0014356	Enterocolitis	6.4265e-09
2370	ADRA2A	P08913 adrenoceptor alpha 2A	C0014394	Enuresis	6.4265e-09
2371	ADRA1B	P35368 adrenoceptor alpha 1B	C0014394	Enuresis	6.4265e-09
2372	ACHE	P22303 acetylcholinesterase (Yt blood group)	C0014394	Enuresis	6.4265e-09
2373	ADRA2C	P18825 adrenoceptor alpha 2C	C0014394	Enuresis	6.4265e-09
2374	ADRA2B	P18089 adrenoceptor alpha 2B	C0014394	Enuresis	6.4265e-09
2375	ADORA2A	P29274 adenosine A2a receptor	C2240374	Eosinophil count increased	6.4265e-09
2376	DRD2	P14416 dopamine receptor D2	C0014457	Eosinophilia	6.4265e-09
2377	HTR2A	P28223 5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	C0014457	Eosinophilia	6.4265e-09
2378	CA1	P00915 carbonic anhydrase I	C0014457	Eosinophilia	6.4265e-09
2379	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0014457	Eosinophilia	6.4265e-09
2380	CA2	P00918 carbonic anhydrase II	C0014457	Eosinophilia	6.4265e-09
2381	CYSLTR1	Q9Y271 cysteinyl leukotriene receptor 1	C0014457	Eosinophilia	6.4265e-09
2382	PTGS2	P35354 prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	C0014457	Eosinophilia	6.4265e-09
2383	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0014457	Eosinophilia	6.4265e-09
2384	DRD5	P21918 dopamine receptor D5	C0014457	Eosinophilia	6.4265e-09
2385	DRD1	P21728 dopamine receptor D1	C0014457	Eosinophilia	6.4265e-09
2386	HTR7	P34969 5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled	C0014457	Eosinophilia	6.4265e-09
2387	ABCC8	Q09428 ATP-binding cassette, sub-family C (CFTR/MRP), member 8	C0014457	Eosinophilia	6.4265e-09
2388	HRH1	P35367 histamine receptor H1	C0014457	Eosinophilia	6.4265e-09
2389	CA12	O43570 carbonic anhydrase XII	C0014457	Eosinophilia	6.4265e-09
2390	CYP2C9	P11712 cytochrome P450, family 2, subfamily C, polypeptide 9	C0014457	Eosinophilia	6.4265e-09
2391	KCNH2	Q12809 potassium voltage-gated channel, subfamily H (eag-related), member 2	C0014457	Eosinophilia	6.4265e-09
2392	ACE	P12821 angiotensin I converting enzyme	C0014457	Eosinophilia	6.4265e-09
2393	DRD3	P35462 dopamine receptor D3	C0014457	Eosinophilia	6.4265e-09
2394	HTR2C	P28335 5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	C0014457	Eosinophilia	6.4265e-09
2395	HTR1A	P08908 5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	C0014457	Eosinophilia	6.4265e-09
2396	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0014457	Eosinophilia	6.4265e-09
2397	CYSLTR1	Q9Y271 cysteinyl leukotriene receptor 1	C1527407	Eosinophilic pneumonia	6.4265e-09
2398	CYP2A6	P11509 cytochrome P450, family 2, subfamily A, polypeptide 6	C0016689	Ephelides	6.4265e-09
2399	AKR1C2	P52895 aldo-keto reductase family 1, member C2	C1167709	Epidermal necrosis	6.4265e-09
2400	F10	P00742 coagulation factor X	C0238154	Epidural haemorrhage	6.4265e-09
2401	HSD17B1	P14061 hydroxysteroid (17-beta) dehydrogenase 1	C0014544	Epilepsy	6.4265e-09
2402	FDPS	P14324 farnesyl diphosphate synthase	C0014583	Episcleritis	6.4265e-09
2403	CA2	P00918 carbonic anhydrase II	C0014591	Epistaxis	6.4265e-09
2404	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0014591	Epistaxis	6.4265e-09
2405	HRH1	P35367 histamine receptor H1	C0014591	Epistaxis	6.4265e-09
2406	PDE4B	Q07343 phosphodiesterase 4B, cAMP-specific	C0014591	Epistaxis	6.4265e-09
2407	ADRA1A	P35348 adrenoceptor alpha 1A	C0014591	Epistaxis	6.4265e-09
2408	REN	P00797 renin	C0014591	Epistaxis	6.4265e-09
2409	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0014591	Epistaxis	6.4265e-09
2410	PTGS2	P35354 prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	C0014591	Epistaxis	6.4265e-09
2411	F10	P00742 coagulation factor X	C0014591	Epistaxis	6.4265e-09
2412	CHRM1	P11229 cholinergic receptor, muscarinic 1	C0242350	Erectile dysfunction	6.4265e-09
2413	ACE	P12821 angiotensin I converting enzyme	C0242350	Erectile dysfunction	6.4265e-09
2414	KCNH2	Q12809 potassium voltage-gated channel, subfamily H (eag-related), member 2	C0242350	Erectile dysfunction	6.4265e-09
2415	HTR1A	P08908 5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	C0242350	Erectile dysfunction	6.4265e-09
2416	DRD5	P21918 dopamine receptor D5	C0242350	Erectile dysfunction	6.4265e-09
2417	MAOB	P27338 monoamine oxidase B	C0242350	Erectile dysfunction	6.4265e-09
2418	DRD4	P21917 dopamine receptor D4	C0242350	Erectile dysfunction	6.4265e-09
2419	HTR6	P50406 5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled	C0242350	Erectile dysfunction	6.4265e-09
2420	ESR2	Q92731 estrogen receptor 2 (ER beta)	C0242350	Erectile dysfunction	6.4265e-09
2421	AKR1D1	P51857 aldo-keto reductase family 1, member D1	C0242350	Erectile dysfunction	6.4265e-09
2422	CHRM3	P20309 cholinergic receptor, muscarinic 3	C0242350	Erectile dysfunction	6.4265e-09
2423	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0242350	Erectile dysfunction	6.4265e-09
2424	CHRM4	P08173 cholinergic receptor, muscarinic 4	C0242350	Erectile dysfunction	6.4265e-09
2425	DRD1	P21728 dopamine receptor D1	C0242350	Erectile dysfunction	6.4265e-09
2426	DPP4	P27487 dipeptidyl-peptidase 4	C0242350	Erectile dysfunction	6.4265e-09
2427	PGR	P06401 progesterone receptor	C0242350	Erectile dysfunction	6.4265e-09
2428	CHRM2	P08172 cholinergic receptor, muscarinic 2	C0242350	Erectile dysfunction	6.4265e-09
2429	SLC6A3	Q01959 solute carrier family 6 (neurotransmitter transporter), member 3	C0242350	Erectile dysfunction	6.4265e-09
2430	ADRB1	P08588 adrenoceptor beta 1	C0242350	Erectile dysfunction	6.4265e-09
2431	HTR2C	P28335 5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	C0242350	Erectile dysfunction	6.4265e-09
2432	ADRA2A	P08913 adrenoceptor alpha 2A	C0242350	Erectile dysfunction	6.4265e-09
2433	ADRA1B	P35368 adrenoceptor alpha 1B	C0242350	Erectile dysfunction	6.4265e-09
2434	CHRM5	P08912 cholinergic receptor, muscarinic 5	C0242350	Erectile dysfunction	6.4265e-09
2435	ADRB3	P13945 adrenoceptor beta 3	C0242350	Erectile dysfunction	6.4265e-09
2436	ADRA1D	P25100 adrenoceptor alpha 1D	C0242350	Erectile dysfunction	6.4265e-09
2437	CA4	P22748 carbonic anhydrase IV	C0242350	Erectile dysfunction	6.4265e-09
2438	HTR7	P34969 5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled	C0242350	Erectile dysfunction	6.4265e-09
2439	HTR2B	P41595 5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled	C0242350	Erectile dysfunction	6.4265e-09
2440	MAOA	P21397 monoamine oxidase A	C0242350	Erectile dysfunction	6.4265e-09
2441	HRH2	P25021 histamine receptor H2	C0242350	Erectile dysfunction	6.4265e-09
2442	CA2	P00918 carbonic anhydrase II	C0242350	Erectile dysfunction	6.4265e-09
2443	CA1	P00915 carbonic anhydrase I	C0242350	Erectile dysfunction	6.4265e-09
2444	DRD3	P35462 dopamine receptor D3	C0242350	Erectile dysfunction	6.4265e-09
2445	SRD5A2	P31213 steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)	C0242350	Erectile dysfunction	6.4265e-09
2446	SRD5A1	P18405 steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	C0242350	Erectile dysfunction	6.4265e-09
2447	ADRA1A	P35348 adrenoceptor alpha 1A	C0242350	Erectile dysfunction	6.4265e-09
2448	HRH1	P35367 histamine receptor H1	C0242350	Erectile dysfunction	6.4265e-09
2449	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0541941	Erection increased	6.4265e-09
2450	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0014724	Eructation	6.4265e-09
2451	HTR1D	P28221 5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled	C0014724	Eructation	6.4265e-09
2452	AKR1C2	P52895 aldo-keto reductase family 1, member C2	C0014724	Eructation	6.4265e-09
2453	PTGS2	P35354 prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	C0014724	Eructation	6.4265e-09
2454	AVPR1A	P37288 arginine vasopressin receptor 1A	C0041834	Erythema	6.4265e-09
2455	GRIA2	P42262 glutamate receptor, ionotropic, AMPA 2	C0041834	Erythema	6.4265e-09
2456	CA2	P00918 carbonic anhydrase II	C0041834	Erythema	6.4265e-09
2457	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0041834	Erythema	6.4265e-09
2458	CHRNA4	P43681 cholinergic receptor, nicotinic, alpha 4 (neuronal)	C0041834	Erythema	6.4265e-09
2459	PGR	P06401 progesterone receptor	C0041834	Erythema	6.4265e-09
2460	GABRA1	P14867 gamma-aminobutyric acid (GABA) A receptor, alpha 1	C0041834	Erythema	6.4265e-09
2461	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0041834	Erythema	6.4265e-09
2462	GABRA4	P48169 gamma-aminobutyric acid (GABA) A receptor, alpha 4	C0041834	Erythema	6.4265e-09
2463	OPRD1	P41143 opioid receptor, delta 1	C0041834	Erythema	6.4265e-09
2464	NR3C1	P04150 nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	C0041834	Erythema	6.4265e-09
2465	OPRM1	P35372 opioid receptor, mu 1	C0041834	Erythema	6.4265e-09
2466	KDR	P35968 kinase insert domain receptor (a type III receptor tyrosine kinase)	C0041834	Erythema	6.4265e-09
2467	GABRA6	Q16445 gamma-aminobutyric acid (GABA) A receptor, alpha 6	C0041834	Erythema	6.4265e-09
2468	GABRA3	P34903 gamma-aminobutyric acid (GABA) A receptor, alpha 3	C0041834	Erythema	6.4265e-09
2469	CHRNA7	P36544 cholinergic receptor, nicotinic, alpha 7 (neuronal)	C0041834	Erythema	6.4265e-09
2470	GRIK2	Q13002 glutamate receptor, ionotropic, kainate 2	C0041834	Erythema	6.4265e-09
2471	GABRR3	A8MPY1 gamma-aminobutyric acid (GABA) A receptor, rho 3	C0014742	Erythema multiforme	6.4265e-09
2472	GABRP	O00591 gamma-aminobutyric acid (GABA) A receptor, pi	C0014742	Erythema multiforme	6.4265e-09
2473	HSD17B1	P14061 hydroxysteroid (17-beta) dehydrogenase 1	C0014742	Erythema multiforme	6.4265e-09
2474	PGR	P06401 progesterone receptor	C0014742	Erythema multiforme	6.4265e-09
2475	GABRE	P78334 gamma-aminobutyric acid (GABA) A receptor, epsilon	C0014742	Erythema multiforme	6.4265e-09
2476	TSPO	B1AH88 translocator protein (18kDa)	C0014742	Erythema multiforme	6.4265e-09
2477	GABRR1	P24046 gamma-aminobutyric acid (GABA) A receptor, rho 1	C0014742	Erythema multiforme	6.4265e-09
2478	GABRB2	P47870 gamma-aminobutyric acid (GABA) A receptor, beta 2	C0014742	Erythema multiforme	6.4265e-09
2479	CA1	P00915 carbonic anhydrase I	C0014742	Erythema multiforme	6.4265e-09
2480	SLC15A2	Q16348 solute carrier family 15 (oligopeptide transporter), member 2	C0014742	Erythema multiforme	6.4265e-09
2481	GABRD	O14764 gamma-aminobutyric acid (GABA) A receptor, delta	C0014742	Erythema multiforme	6.4265e-09
2482	GABRB3	P28472 gamma-aminobutyric acid (GABA) A receptor, beta 3	C0014742	Erythema multiforme	6.4265e-09
2483	GABRQ	Q9UN88 gamma-aminobutyric acid (GABA) A receptor, theta	C0014742	Erythema multiforme	6.4265e-09
2484	GABRR2	P28476 gamma-aminobutyric acid (GABA) A receptor, rho 2	C0014742	Erythema multiforme	6.4265e-09
2485	CYP19A1	P11511 cytochrome P450, family 19, subfamily A, polypeptide 1	C0014742	Erythema multiforme	6.4265e-09
2486	GABRG2	P18507 gamma-aminobutyric acid (GABA) A receptor, gamma 2	C0014742	Erythema multiforme	6.4265e-09
2487	DHFR	P00374 dihydrofolate reductase	C0014742	Erythema multiforme	6.4265e-09
2488	GABRB1	P18505 gamma-aminobutyric acid (GABA) A receptor, beta 1	C0014742	Erythema multiforme	6.4265e-09
2489	ABCC8	Q09428 ATP-binding cassette, sub-family C (CFTR/MRP), member 8	C0014742	Erythema multiforme	6.4265e-09
2490	CYP2C9	P11712 cytochrome P450, family 2, subfamily C, polypeptide 9	C0014742	Erythema multiforme	6.4265e-09
2491	GABRG3	Q99928 gamma-aminobutyric acid (GABA) A receptor, gamma 3	C0014742	Erythema multiforme	6.4265e-09
2492	GABRG1	Q8N1C3 gamma-aminobutyric acid (GABA) A receptor, gamma 1	C0014742	Erythema multiforme	6.4265e-09
2493	AKR1C2	P52895 aldo-keto reductase family 1, member C2	C0014742	Erythema multiforme	6.4265e-09
2494	PGR	P06401 progesterone receptor	C0014743	Erythema nodosum	6.4265e-09
2495	ESR2	Q92731 estrogen receptor 2 (ER beta)	C0014743	Erythema nodosum	6.4265e-09
2496	ACHE	P22303 acetylcholinesterase (Yt blood group)	C0221395	Erythropenia	6.4265e-09
2497	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0271211	Erythropsia	6.4265e-09
2498	HTR1D	P28221 5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled	C0235146	Euphoric mood	6.4265e-09
2499	DRD2	P14416 dopamine receptor D2	C0235146	Euphoric mood	6.4265e-09
2500	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0235146	Euphoric mood	6.4265e-09
2501	GABRA3	P34903 gamma-aminobutyric acid (GABA) A receptor, alpha 3	C0235146	Euphoric mood	6.4265e-09
2502	SLC6A3	Q01959 solute carrier family 6 (neurotransmitter transporter), member 3	C0235146	Euphoric mood	6.4265e-09
2503	SIGMAR1	Q99720 sigma non-opioid intracellular receptor 1	C0235146	Euphoric mood	6.4265e-09
2504	PTGS1	P23219 prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	C0235146	Euphoric mood	6.4265e-09
2505	MAOA	P21397 monoamine oxidase A	C0235146	Euphoric mood	6.4265e-09
2506	HTR1B	P28222 5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled	C0235146	Euphoric mood	6.4265e-09
2507	GABRD	O14764 gamma-aminobutyric acid (GABA) A receptor, delta	C0235146	Euphoric mood	6.4265e-09
2508	GABRG3	Q99928 gamma-aminobutyric acid (GABA) A receptor, gamma 3	C0235146	Euphoric mood	6.4265e-09
2509	HTR2A	P28223 5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	C0235146	Euphoric mood	6.4265e-09
2510	GRIA2	P42262 glutamate receptor, ionotropic, AMPA 2	C0235146	Euphoric mood	6.4265e-09
2511	GABRB3	P28472 gamma-aminobutyric acid (GABA) A receptor, beta 3	C0235146	Euphoric mood	6.4265e-09
2512	GABRE	P78334 gamma-aminobutyric acid (GABA) A receptor, epsilon	C0235146	Euphoric mood	6.4265e-09
2513	HTR2C	P28335 5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	C0235146	Euphoric mood	6.4265e-09
2514	CHRNA7	P36544 cholinergic receptor, nicotinic, alpha 7 (neuronal)	C0235146	Euphoric mood	6.4265e-09
2515	GABRA6	Q16445 gamma-aminobutyric acid (GABA) A receptor, alpha 6	C0235146	Euphoric mood	6.4265e-09
2516	GABRA1	P14867 gamma-aminobutyric acid (GABA) A receptor, alpha 1	C0235146	Euphoric mood	6.4265e-09
2517	CNR2	P34972 cannabinoid receptor 2 (macrophage)	C0235146	Euphoric mood	6.4265e-09
2518	PGR	P06401 progesterone receptor	C0235146	Euphoric mood	6.4265e-09
2519	HTR1A	P08908 5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	C0235146	Euphoric mood	6.4265e-09
2520	GRIK2	Q13002 glutamate receptor, ionotropic, kainate 2	C0235146	Euphoric mood	6.4265e-09
2521	CHRNA4	P43681 cholinergic receptor, nicotinic, alpha 4 (neuronal)	C0235146	Euphoric mood	6.4265e-09
2522	GABRA4	P48169 gamma-aminobutyric acid (GABA) A receptor, alpha 4	C0235146	Euphoric mood	6.4265e-09
2523	GABRG2	P18507 gamma-aminobutyric acid (GABA) A receptor, gamma 2	C0235146	Euphoric mood	6.4265e-09
2524	ESR2	Q92731 estrogen receptor 2 (ER beta)	C0235146	Euphoric mood	6.4265e-09
2525	GPRASP1	Q5JY77 G protein-coupled receptor associated sorting protein 1	C0235146	Euphoric mood	6.4265e-09
2526	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0235146	Euphoric mood	6.4265e-09
2527	ANGPT1	Q15389 angiopoietin 1	C0235146	Euphoric mood	6.4265e-09
2528	DRD3	P35462 dopamine receptor D3	C0235146	Euphoric mood	6.4265e-09
2529	MAOB	P27338 monoamine oxidase B	C0235146	Euphoric mood	6.4265e-09
2530	SLC18A2	Q05940 solute carrier family 18 (vesicular monoamine transporter), member 2	C0235146	Euphoric mood	6.4265e-09
2531	GABRB2	P47870 gamma-aminobutyric acid (GABA) A receptor, beta 2	C0235146	Euphoric mood	6.4265e-09
2532	ADRA2A	P08913 adrenoceptor alpha 2A	C0015256	Excoriation	6.4265e-09
2533	ADRA2B	P18089 adrenoceptor alpha 2B	C0015256	Excoriation	6.4265e-09
2534	SLC6A3	Q01959 solute carrier family 6 (neurotransmitter transporter), member 3	C0015371	Extrapyramidal disorder	6.4265e-09
2535	NCS1	P62166 neuronal calcium sensor 1	C0015371	Extrapyramidal disorder	6.4265e-09
2536	HTR1A	P08908 5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	C0015371	Extrapyramidal disorder	6.4265e-09
2537	HTR7	P34969 5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled	C0015371	Extrapyramidal disorder	6.4265e-09
2538	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0015371	Extrapyramidal disorder	6.4265e-09
2539	HTR3A	P46098 5-hydroxytryptamine (serotonin) receptor 3A, ionotropic	C0015371	Extrapyramidal disorder	6.4265e-09
2540	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0340464	Extrasystoles	6.4265e-09
2541	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0340464	Extrasystoles	6.4265e-09
2542	ADORA1	P30542 adenosine A1 receptor	C0340464	Extrasystoles	6.4265e-09
2543	SLC6A3	Q01959 solute carrier family 6 (neurotransmitter transporter), member 3	C0340464	Extrasystoles	6.4265e-09
2544	DRD2	P14416 dopamine receptor D2	C0340464	Extrasystoles	6.4265e-09
2545	ADORA2A	P29274 adenosine A2a receptor	C0340464	Extrasystoles	6.4265e-09
2546	HRH1	P35367 histamine receptor H1	C0340464	Extrasystoles	6.4265e-09
2547	PAH	P00439 phenylalanine hydroxylase	C0015376	Extravasation	6.4265e-09
2548	GABRA6	Q16445 gamma-aminobutyric acid (GABA) A receptor, alpha 6	C0015376	Extravasation	6.4265e-09
2549	SCN10A	Q9Y5Y9 sodium channel, voltage-gated, type X, alpha subunit	C0015397	Eye disorder	6.4265e-09
2550	PDE5A	O76074 phosphodiesterase 5A, cGMP-specific	C0015397	Eye disorder	6.4265e-09
2551	AKR1C3	P42330 aldo-keto reductase family 1, member C3	C0015397	Eye disorder	6.4265e-09
2552	SLC6A2	P23975 solute carrier family 6 (neurotransmitter transporter), member 2	C0015397	Eye disorder	6.4265e-09
2553	F10	P00742 coagulation factor X	C0015397	Eye disorder	6.4265e-09
2554	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0015397	Eye disorder	6.4265e-09
2555	HRH1	P35367 histamine receptor H1	C0015397	Eye disorder	6.4265e-09
