yourlist:M2016071314483A1C7ED25EE8374758DF3FD545FD1ADE30N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P15555	P15555	DAC_STRSR	reviewed	D-alanyl-D-alanine carboxypeptidase (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4)		Streptomyces sp. (strain R61)	406
P21430	P21430	M2_I60A0	reviewed	Matrix protein 2 (Proton channel protein M2)	M	Influenza A virus (strain A/Ann Arbor/6/1960 H2N2)	97
P83223	P83223	FRDA_SHEON	reviewed	Fumarate reductase flavoprotein subunit (EC 1.3.5.4) (Flavocytochrome c) (FL cyt)	SO_0970	Shewanella oneidensis (strain MR-1)	596
Q92206	Q92206	ERG1_CANAL	reviewed	Squalene monooxygenase (EC 1.14.14.17) (Squalene epoxidase) (SE)	ERG1 CaO19.406 CaO19.8036	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	496
P08149	P08149	PBP2_NEIGO	reviewed	Penicillin-binding protein 2 (PBP-2)	penA	Neisseria gonorrhoeae	581
P0A6E4	P0A6E4	ASSY_ECOLI	reviewed	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG b3172 JW3140	Escherichia coli (strain K12)	447
P53608	P53608	ARGI_BACCD	reviewed	Arginase (EC 3.5.3.1)	rocF	Bacillus caldovelox	299
P66010	P66010	TRXB_STAAM	reviewed	Thioredoxin reductase (TRXR) (EC 1.8.1.9)	trxB SAV0764	Staphylococcus aureus (strain Mu50 / ATCC 700699)	311
P00582	P00582	DPO1_ECOLI	reviewed	DNA polymerase I (POL I) (EC 2.7.7.7)	polA resA b3863 JW3835	Escherichia coli (strain K12)	928
P18314	P18314	URE1_ENTAE	reviewed	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC	Enterobacter aerogenes (Aerobacter aerogenes)	567
P06818	P06818	NRAM_I79A0	reviewed	Neuraminidase (EC 3.2.1.18)	NA	Influenza A virus (strain A/Bangkok/1/1979 H3N2)	469
P27907	P27907	NRAM_INBBE	reviewed	Neuraminidase (EC 3.2.1.18)	NA	Influenza B virus (strain B/Beijing/1/1987)	465
P06864	P06864	BGA2_ECOLI	reviewed	Evolved beta-galactosidase subunit alpha (Beta-gal) (EC 3.2.1.23) (Lactase)	ebgA b3076 JW5511	Escherichia coli (strain K12)	1030
Q8MU52	Q8MU52	GST_PLAFA	reviewed	Glutathione S-transferase (EC 2.5.1.18) (PfGST)	GST	Plasmodium falciparum	211
P9WIE5	P9WIE5	KATG_MYCTU	reviewed	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG Rv1908c MTCY180.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	740
P0A7Z4	P0A7Z4	RPOA_ECOLI	reviewed	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA pez phs sez b3295 JW3257	Escherichia coli (strain K12)	329
P0A8T7	P0A8T7	RPOC_ECOLI	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC tabB b3988 JW3951	Escherichia coli (strain K12)	1407
P03200	P03200	GP350_EBVB9	reviewed	Envelope glycoprotein GP350 (Membrane antigen) (MA)	BLLF1	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	907
P68344	P68344	VGP3_EBVP3	reviewed	Envelope glycoprotein GP340 (Membrane antigen) (MA)	BLLF1	Epstein-Barr virus (strain P3HR-1) (HHV-4) (Human herpesvirus 4)	886
P0C002	P0C002	DHP1_ECOLX	reviewed	Dihydropteroate synthase type-1 (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase type I) (Dihydropteroate synthase type I) (DHPS)	sulI sul1	Escherichia coli	279
P53848	P53848	FOL1_YEAST	reviewed	Folic acid synthesis protein FOL1 [Includes: Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase) (FASA) (FASB); 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (PPPK) (FASC); Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase) (FASD)]	FOL1 YNL256W N0848	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	824
Q96P88	Q96P88	GNRR2_HUMAN	reviewed	Putative gonadotropin-releasing hormone II receptor (GnRH II receptor) (GnRH-II-R) (Type II GnRH receptor)	GNRHR2	Homo sapiens (Human)	292
P06310	P06310	KV206_HUMAN	reviewed	Ig kappa chain V-II region RPMI 6410		Homo sapiens (Human)	133
P52647	P52647	NIFJ_ECOLI	reviewed	Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	ydbK b1378 JW1372	Escherichia coli (strain K12)	1174
P17117	P17117	NFSA_ECOLI	reviewed	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-) (Modulator of drug activity A)	nfsA mda18 mdaA ybjB b0851 JW0835	Escherichia coli (strain K12)	240
P0A7R5	P0A7R5	RS10_ECOLI	reviewed	30S ribosomal protein S10	rpsJ nusE b3321 JW3283	Escherichia coli (strain K12)	103
P00363	P00363	FRDA_ECOLI	reviewed	Fumarate reductase flavoprotein subunit (EC 1.3.5.4)	frdA b4154 JW4115	Escherichia coli (strain K12)	602
P06149	P06149	DLD_ECOLI	reviewed	D-lactate dehydrogenase (EC 1.1.1.28) (Respiratory D-lactate dehydrogenase)	dld b2133 JW2121	Escherichia coli (strain K12)	571
P03176	P03176	KITH_HHV11	reviewed	Thymidine kinase (EC 2.7.1.21)	TK UL23	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	376
P26676	P26676	L_PI2HT	reviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); mRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.56); mRNA guanylyltransferase (EC 2.7.7.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88)]	L	Human parainfluenza 2 virus (strain Toshiba) (HPIV-2)	2262
P16502	P16502	RDRP_I56A0	reviewed	RNA-directed RNA polymerase catalytic subunit (EC 2.7.7.48) (Polymerase basic protein 1) (PB1) (RNA-directed RNA polymerase subunit P1)	PB1	Influenza A virus (strain A/Beijing/11/1956 H1N1)	757
P0AFI2	P0AFI2	PARC_ECOLI	reviewed	DNA topoisomerase 4 subunit A (EC 5.99.1.3) (Topoisomerase IV subunit A)	parC b3019 JW2987	Escherichia coli (strain K12)	752
Q5L2G3	Q5L2G3	CZCO_GEOKA	reviewed	Uncharacterized oxidoreductase CzcO-like (EC 1.-.-.-)	GK0582	Geobacillus kaustophilus (strain HTA426)	348
Q49184	Q49184	DHP1_MYCFO	reviewed	Dihydropteroate synthase type-1 (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase type I) (Dihydropteroate synthase type I) (DHPS)	sulI suf3	Mycobacterium fortuitum	283
O25608	O25608	RDXA_HELPY	reviewed	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)	rdxA HP_0954	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	210
P29166	P29166	PHF1_CLOPA	reviewed	Iron hydrogenase 1 (EC 1.12.7.2) (CpI) (Fe-only hydrogenase) ([Fe] hydrogenase)		Clostridium pasteurianum	574
P08192	P08192	FOLC_ECOLI	reviewed	Bifunctional protein FolC [Includes: Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase); Dihydrofolate synthase (EC 6.3.2.12)]	folC dedC b2315 JW2312	Escherichia coli (strain K12)	422
P0A953	P0A953	FABB_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 1 (EC 2.3.1.41) (3-oxoacyl-[acyl-carrier-protein] synthase I) (Beta-ketoacyl-ACP synthase I) (KAS I)	fabB fabC b2323 JW2320	Escherichia coli (strain K12)	406
P0AAI5	P0AAI5	FABF_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF fabJ b1095 JW1081	Escherichia coli (strain K12)	413
P72524	P72524	GYRA_STRPN	reviewed	DNA gyrase subunit A (EC 5.99.1.3)	gyrA SP_1219	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	822
P72525	P72525	PARC_STRPN	reviewed	DNA topoisomerase 4 subunit A (EC 5.99.1.3) (Topoisomerase IV subunit A)	parC SP_0855	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	823
Q59961	Q59961	PARE_STRPN	reviewed	DNA topoisomerase 4 subunit B (EC 5.99.1.3) (Topoisomerase IV subunit B)	parE SP_0852	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	647
P0A0K8	P0A0K8	GYRB_STAAU	reviewed	DNA gyrase subunit B (EC 5.99.1.3)	gyrB	Staphylococcus aureus	644
P12461	P12461	TYSY_CANAL	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	TMP1 CDC21 TSA1 CaO19.11033 CaO19.3549	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	315
Q02768	Q02768	CYB_PLAFA	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB	Plasmodium falciparum	376
Q08210	Q08210	PYRD_PLAF7	reviewed	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	PFF0160c	Plasmodium falciparum (isolate 3D7)	569
P0A0N4	P0A0N4	QACR_STAAU	reviewed	HTH-type transcriptional regulator QacR	qacR SAP100B_005 SAP104C_022	Staphylococcus aureus	188
P0A3M5	P0A3M5	PBP2_STRPN	reviewed	Penicillin-binding protein 2B	penA pbp2b SP_1673	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	680
P0AEB3	P0AEB3	DACA_ECOL6	reviewed	D-alanyl-D-alanine carboxypeptidase DacA (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 5) (PBP-5)	dacA c0722	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	403
Q04707	Q04707	PBPA_STRPN	reviewed	Penicillin-binding protein 1A (PBP-1A)	ponA SP_0369	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	719
P14677	P14677	PBPX_STRPN	reviewed	Penicillin-binding protein 2x (PBP-2x) (PBP2x)	pbpX SP_0336	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	750
P50859	P50859	CP51_CANGA	reviewed	Lanosterol 14-alpha demethylase (EC 1.14.13.70) (CYPLI) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	ERG11 CYP51 CAGL0E04334g	Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) (Yeast) (Torulopsis glabrata)	533
P9WGY7	P9WGY7	RPOC_MYCTU	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC Rv0668 MTCI376.07c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1316
Q9A1X4	Q9A1X4	RL3_STRP1	reviewed	50S ribosomal protein L3	rplC SPy_0049 M5005_Spy0044	Streptococcus pyogenes serotype M1	208
Q05486	Q05486	DPOL_HBVF1	reviewed	Protein P [Includes: DNA-directed DNA polymerase (EC 2.7.7.7); RNA-directed DNA polymerase (EC 2.7.7.49); Ribonuclease H (EC 3.1.26.4)]	P	Hepatitis B virus genotype F2 (isolate Brazil/w4B) (HBV-F)	843
P76577	P76577	PBPC_ECOLI	reviewed	Penicillin-binding protein 1C (PBP-1c) (PBP1c) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.2.-) (Peptidoglycan TGase); Transpeptidase-like module]	pbpC yfgN b2519 JW2503	Escherichia coli (strain K12)	770
P0AFI5	P0AFI5	PBP7_ECOLI	reviewed	D-alanyl-D-alanine endopeptidase (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 7) (PBP-7)	pbpG yohB b2134 JW5355	Escherichia coli (strain K12)	310
P0A7J6	P0A7J6	RL10_SHIFL	reviewed	50S ribosomal protein L10	rplJ SF4058 S3677	Shigella flexneri	165
P61177	P61177	RL22_ECO57	reviewed	50S ribosomal protein L22	rplV Z4686 ECs4180	Escherichia coli O157:H7	110
Q00441	Q00441	CPXJ_SACEN	reviewed	6-deoxyerythronolide B hydroxylase (6-DEB hydroxylase) (EC 1.14.13.188) (CYPCVIIA1) (Cytochrome P450 107A1) (Cytochrome P450eryF) (Erythromycin A biosynthesis hydroxylase)	eryF CYP107A1 SACE_0730	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	404
P00947	P00947	SDIS_COMTE	reviewed	Steroid Delta-isomerase (EC 5.3.3.1) (Delta(5)-3-ketosteroid isomerase)	ksi	Comamonas testosteroni (Pseudomonas testosteroni)	125
P62594	P62594	BLAT_SALTI	reviewed	Beta-lactamase TEM (EC 3.5.2.6) (Penicillinase)	bla HCM1.216	Salmonella typhi	286
P12758	P12758	UDP_ECOLI	reviewed	Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)	udp b3831 JW3808	Escherichia coli (strain K12)	253
P01857	P01857	IGHG1_HUMAN	reviewed	Ig gamma-1 chain C region	IGHG1	Homo sapiens (Human)	330
P08870	P08870	PYRE_SALTY	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE STM3733	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	213
O85465	O85465	GUN5_BACAG	reviewed	Endoglucanase 5A (EC 3.2.1.4) (Alkaline cellulase) (Endo-1,4-beta-glucanase 5A)	cel5A	Bacillus agaradhaerens (Bacillus agaradherans)	400
P46883	P46883	AMO_ECOLI	reviewed	Primary amine oxidase (EC 1.4.3.21) (2-phenylethylamine oxidase) (Copper amine oxidase) (Tyramine oxidase)	tynA maoA b1386 JW1381	Escherichia coli (strain K12)	757
P24300	P24300	XYLA_STRRU	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA	Streptomyces rubiginosus	388
P12851	P12851	XYLA_ACTM4	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA XI AMIS_10350	Actinoplanes missouriensis (strain ATCC 14538 / DSM 43046 / CBS 188.64 / JCM 3121 / NCIMB 12654 / NBRC 102363 / 431)	394
P12070	P12070	XYLA_ARTS7	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA	Arthrobacter sp. (strain NRRL B3728)	395
P37330	P37330	MASZ_ECOLI	reviewed	Malate synthase G (MSG) (EC 2.3.3.9)	glcB glc b2976 JW2943	Escherichia coli (strain K12)	723
P00509	P00509	AAT_ECOLI	reviewed	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC b0928 JW0911	Escherichia coli (strain K12)	396
P37698	P37698	GUNF_CLOCE	reviewed	Endoglucanase F (EC 3.2.1.4) (Cellulase F) (EGCCF) (Endo-1,4-beta-glucanase F)	celCCF Ccel_0729	Clostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10)	722
P03007	P03007	DPO3E_ECOLI	reviewed	DNA polymerase III subunit epsilon (EC 2.7.7.7)	dnaQ mutD b0215 JW0205	Escherichia coli (strain K12)	243
P06612	P06612	TOP1_ECOLI	reviewed	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA supX b1274 JW1266	Escherichia coli (strain K12)	865
P56653	P56653	4HBT_PSEUC	reviewed	4-hydroxybenzoyl-CoA thioesterase (EC 3.1.2.23)		Pseudomonas sp. (strain CBS-3)	141
P39304	P39304	ULAD_ECOLI	reviewed	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase) (KGPDC) (L-ascorbate utilization protein D)	ulaD sgaH yjfV b4196 JW4154	Escherichia coli (strain K12)	216
P62219	P62219	RECA_MYCPA	reviewed	Protein RecA (Recombinase A)	recA MAP_2848c	Mycobacterium paratuberculosis (strain ATCC BAA-968 / K-10)	350
P42443	P42443	RECA_DEIRA	reviewed	Protein RecA (Recombinase A)	recA DR_2340	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	363
Q59560	Q59560	RECA_MYCS2	reviewed	Protein RecA (Recombinase A)	recA MSMEG_2723 MSMEI_2656	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	349
P60757	P60757	HIS1_ECOLI	reviewed	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG b2019 JW2001	Escherichia coli (strain K12)	299
P50870	P50870	VATD_ENTFC	reviewed	Streptogramin A acetyltransferase (EC 2.3.1.-) (Virginiamycin acetyltransferase D) (Vat(D))	vatD satA	Enterococcus faecium (Streptococcus faecium)	209
Q06174	Q06174	EST_GEOSE	reviewed	Carboxylesterase (EC 3.1.1.1)	est est30	Geobacillus stearothermophilus (Bacillus stearothermophilus)	246
P40871	P40871	DHBE_BACSU	reviewed	2,3-dihydroxybenzoate-AMP ligase (EC 6.3.2.-) (Dihydroxybenzoic acid-activating enzyme)	dhbE entE BSU31980	Bacillus subtilis (strain 168)	539
P14900	P14900	MURD_ECOLI	reviewed	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD b0088 JW0086	Escherichia coli (strain K12)	438
P45066	P45066	MURC_HAEIN	reviewed	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC HI_1139	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	475
P0A6I9	P0A6I9	COAE_ECOLI	reviewed	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE yacE b0103 JW0100	Escherichia coli (strain K12)	206
P22262	P22262	PRFA_LISMO	reviewed	Listeriolysin regulatory protein	prfA lmo0200	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	237
P9WHE9	P9WHE9	RISB_MYCTU	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH Rv1416 MTCY21B4.34	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	160
P12823	P12823	POLG_DEN2P	reviewed	Genome polyprotein [Cleaved into: Capsid protein C (Core protein); prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Non-structural protein 2A-alpha (NS2A-alpha); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]		Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (DENV-2)	3388
P37672	P37672	DLGD_ECOLI	reviewed	2,3-diketo-L-gulonate reductase (2,3-DKG reductase) (EC 1.1.1.130) (3-dehydro-L-gulonate 2-dehydrogenase)	dlgD yiaK b3575 JW3547	Escherichia coli (strain K12)	332
P9WNX3	P9WNX3	SERA_MYCTU	reviewed	D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95)	serA Rv2996c MTV012.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	528
O25927	O25927	LPXA_HELPY	reviewed	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA HP_1375	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	270
Q9HU21	Q9HU21	RMLC_PSEAE	reviewed	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase) (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase) (dTDP-L-rhamnose synthase)	rmlC PA5164	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	181
Q51782	Q51782	PHNHY_PSEFL	reviewed	Phosphonoacetate hydrolase (EC 3.11.1.2)	phnA	Pseudomonas fluorescens	407
P07445	P07445	SDIS_PSEPU	reviewed	Steroid Delta-isomerase (EC 5.3.3.1) (Delta(5)-3-ketosteroid isomerase)	ksi	Pseudomonas putida (Arthrobacter siderocapsulatus)	131
P22637	P22637	CHOD_BREST	reviewed	Cholesterol oxidase (CHOD) (EC 1.1.3.6) (Cholesterol isomerase) (EC 5.3.3.1)	choB	Brevibacterium sterolicum	552
P0C0F4	P0C0F4	UDG_STRPY	reviewed	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	hasB	Streptococcus pyogenes	402
P13000	P13000	BIOD1_ECOLI	reviewed	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase)	bioD1 b0778 JW0761	Escherichia coli (strain K12)	225
P16304	P16304	KAD_BACSU	reviewed	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Superoxide-inducible protein 16) (SOI16)	adk BSU01370	Bacillus subtilis (strain 168)	217
P27142	P27142	KAD_GEOSE	reviewed	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk	Geobacillus stearothermophilus (Bacillus stearothermophilus)	217
P69441	P69441	KAD_ECOLI	reviewed	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk dnaW plsA b0474 JW0463	Escherichia coli (strain K12)	214
Q79FX6	Q79FX6	MMAA2_MYCTU	reviewed	Cyclopropane mycolic acid synthase MmaA2 (CMAS) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase) (CFA synthase) (Mycolic acid methyltransferase) (MA-MT) (S-adenosylmethionine-dependent methyltransferase) (AdoMet-MT) (SAM-MT)	mmaA2 mma2 Rv0644c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	287
P9WPB7	P9WPB7	CMAS1_MYCTU	reviewed	Cyclopropane mycolic acid synthase 1 (CMAS) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase) (CFA synthase) (Cyclopropane fatty acid synthase) (Mycolic acid methyltransferase) (MA-MT) (S-adenosylmethionine-dependent methyltransferase) (AdoMet-MT) (SAM-MT)	cmaA1 cma1 CMAS-1 Rv3392c MTV004.50	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	287
P30920	P30920	CDGT1_BACCI	reviewed	Cyclomaltodextrin glucanotransferase (EC 2.4.1.19) (Cyclodextrin-glycosyltransferase) (CGTase)		Bacillus circulans	718
P26662	P26662	POLG_HCVJA	reviewed	Genome polyprotein [Cleaved into: Core protein p21 (Capsid protein C) (p21); Core protein p19; Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); p7; Protease NS2-3 (p23) (EC 3.4.22.-); Serine protease NS3 (EC 3.4.21.98) (EC 3.6.1.15) (EC 3.6.4.13) (Hepacivirin) (NS3P) (p70); Non-structural protein 4A (NS4A) (p8); Non-structural protein 4B (NS4B) (p27); Non-structural protein 5A (NS5A) (p56); RNA-directed RNA polymerase (EC 2.7.7.48) (NS5B) (p68)]		Hepatitis C virus genotype 1b (isolate Japanese) (HCV)	3010
P35963	P35963	POL_HV1Y2	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pol	Human immunodeficiency virus type 1 group M subtype B (isolate YU-2) (HIV-1)	1435
P08200	P08200	IDH_ECOLI	reviewed	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd icdA icdE b1136 JW1122	Escherichia coli (strain K12)	416
P16100	P16100	IDH_AZOVI	reviewed	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (Oxalosuccinate decarboxylase)	icd	Azotobacter vinelandii	741
P77541	P77541	PRPB_ECOLI	reviewed	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	prpB yahQ b0331 JW0323	Escherichia coli (strain K12)	296
Q00740	Q00740	1A1D_PSEUD	reviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS	Pseudomonas sp. (strain ACP)	338
P48632	P48632	FPVA_PSEAE	reviewed	Ferripyoverdine receptor	fpvA PA2398	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	815
P07822	P07822	FHUD_ECOLI	reviewed	Iron(3+)-hydroxamate-binding protein FhuD (Ferric hydroxamate uptake protein D) (Ferrichrome-binding periplasmic protein) (Iron(III)-hydroxamate-binding protein FhuD)	fhuD b0152 JW0148	Escherichia coli (strain K12)	296
P0ACC1	P0ACC1	PRMC_ECOLI	reviewed	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (M.EcoKHemKP) (N5-glutamine methyltransferase PrmC) (Protein release factor methylation C) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC hemK b1212 JW1203	Escherichia coli (strain K12)	277
